Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR1,KORFEZ BRIDGE TOWER,BRIDGE,404452.78N,0293053.39E,827,827,NO INFO,,NO
ENR2,WIND POWER PLANT,WINDMILL,383817.12N,0262417.65E,1739,427,YES,OTHER,NO
ENR3,WIND POWER PLANT,WINDMILL,403136.66N,0290845.27E,2575,407,YES,OTHER,NO
ENR4,WIND POWER PLANT,WINDMILL,383401.93N,0262741.62E,1993,589,YES,OTHER,NO
ENR5,WIND POWER PLANT,WINDMILL,374622.94N,0284836.00E,5943,438,YES,OTHER,NO
ENR6,WIND POWER PLANT,WINDMILL,395344.23N,0261034.72E,512,407,YES,OTHER,NO
ENR7,WIND POWER PLANT,WINDMILL,395456.58N,0301026.02E,4193,427,YES,OTHER,NO
ENR8,KORFEZ BRIDGE TOWER,BRIDGE,404540.94N,0293101.56E,827,827,NO INFO,,NO
ENR9,WIND POWER PLANT,WINDMILL,411513.35N,0281616.64E,1237,535,YES,OTHER,NO
ENR10,WIND POWER PLANT,WINDMILL,383816.67N,0262406.20E,1732,427,YES,OTHER,NO
ENR11,WIND POWER PLANT,WINDMILL,403305.91N,0290618.42E,2743,407,YES,OTHER,NO
ENR12,WIND POWER PLANT,WINDMILL,405715.21N,0353356.48E,4282,592,YES,OTHER,NO
ENR13,WIND POWER PLANT,WINDMILL,395258.15N,0261115.90E,633,407,YES,OTHER,NO
ENR14,WIND POWER PLANT,WINDMILL,370427.95N,0271653.33E,1578,489,YES,OTHER,NO
ENR15,WIND POWER PLANT,WINDMILL,382931.27N,0302112.20E,6875,589,YES,OTHER,NO
ENR16,WIND POWER PLANT,WINDMILL,411521.33N,0281610.44E,1276,535,YES,OTHER,NO
ENR17,WIND POWER PLANT,WINDMILL,383844.76N,0262503.09E,1470,427,YES,OTHER,NO
ENR18,WIND POWER PLANT,WINDMILL,403032.62N,0290831.06E,2054,430,YES,OTHER,NO
ENR19,WIND POWER PLANT,WINDMILL,404314.60N,0261111.77E,1657,410,YES,OTHER,NO
ENR20,WIND POWER PLANT,WINDMILL,395257.22N,0261034.46E,584,407,YES,OTHER,NO
ENR21,WIND POWER PLANT,WINDMILL,400521.84N,0274251.59E,1426,431,YES,OTHER,NO
ENR22,WIND POWER PLANT,WINDMILL,382932.24N,0302130.24E,7282,589,YES,OTHER,NO
ENR23,WIND POWER PLANT,WINDMILL,405754.61N,0353121.58E,4499,592,YES,OTHER,NO
ENR24,WIND POWER PLANT,WINDMILL,403202.36N,0290040.78E,2976,531,YES,OTHER,NO
ENR25,WIND POWER PLANT,WINDMILL,384913.98N,0270011.52E,704,490,YES,OTHER,NO
ENR26,ANTENNA,ANTENNA,395953.35N,0410641.13E,6450,607,YES,OTHER,NO
ENR27,WIND POWER PLANT,WINDMILL,411529.50N,0281604.92E,1289,535,YES,OTHER,NO
ENR28,WIND POWER PLANT,WINDMILL,383846.25N,0262443.97E,1676,427,YES,OTHER,NO
ENR29,WIND POWER PLANT,WINDMILL,404311.70N,0261146.67E,1624,410,YES,OTHER,NO
ENR30,WIND POWER PLANT,WINDMILL,393104.96N,0270924.47E,2274,390,YES,OTHER,NO
ENR31,WIND POWER PLANT,WINDMILL,405512.06N,0353433.66E,3832,427,YES,OTHER,NO
ENR32,WIND POWER PLANT,WINDMILL,382928.82N,0302145.86E,7308,589,YES,OTHER,NO
ENR33,WIND POWER PLANT,WINDMILL,405746.44N,0353129.06E,4624,592,YES,OTHER,NO
ENR34,WIND POWER PLANT,WINDMILL,384911.35N,0270037.66E,704,490,YES,OTHER,NO
ENR35,WIND POWER PLANT,WINDMILL,401616.75N,0275026.02E,966,490,YES,OTHER,NO
ENR36,WIND POWER PLANT,WINDMILL,383838.00N,0262427.94E,1759,427,YES,OTHER,NO
ENR37,WIND POWER PLANT,WINDMILL,405744.42N,0353139.40E,4594,592,YES,OTHER,NO
ENR38,WIND POWER PLANT,WINDMILL,403157.34N,0290730.08E,2159,430,YES,OTHER,NO
ENR39,WIND POWER PLANT,WINDMILL,395111.79N,0264208.83E,1652,609,YES,OTHER,NO
ENR40,WIND POWER PLANT,WINDMILL,400518.89N,0274304.40E,1511,431,YES,OTHER,NO
ENR42,WIND POWER PLANT,WINDMILL,384845.11N,0265958.27E,668,490,YES,OTHER,NO
ENR43,WIND POWER PLANT,WINDMILL,383855.58N,0262414.81E,1690,427,YES,OTHER,NO
ENR44,WIND POWER PLANT,WINDMILL,403115.57N,0290905.19E,2454,407,YES,OTHER,NO
ENR45,WIND POWER PLANT,WINDMILL,395046.11N,0264348.64E,2026,609,YES,OTHER,NO
