Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAF601,BUILDING,BUILDING,370002.476N,0351917.956E,252.82,232.44,NO INFO,,NO
LTAF602,BUILDING,BUILDING,370000.811N,0351924.703E,288.28,252.59,NO INFO,,NO
LTAF603,BUILDING,BUILDING,370008.687N,0351919.741E,255.61,252.16,NO INFO,,NO
LTAF604,BUILDING,BUILDING,365957.414N,0351925.519E,263.74,247.83,NO INFO,,NO
LTAF605,BUILDING,BUILDING,365957.239N,0351917.610E,254.03,218.73,NO INFO,,NO
LTAF606,BUILDING,BUILDING,365953.104N,0351919.891E,254.36,217.81,NO INFO,,NO
LTAF607,BUILDING,BUILDING,370005.158N,0351908.433E,261.78,232.64,NO INFO,,NO
LTAF608,BUILDING,BUILDING,370003.283N,0351906.721E,247.96,228.38,NO INFO,,NO
LTAF609,BUILDING,BUILDING,370004.227N,0351902.271E,250.13,223.03,NO INFO,,NO
LTAF610,BUILDING,BUILDING,365959.846N,0351902.523E,248.52,219.12,NO INFO,,NO
LTAF611,BUILDING,BUILDING,370006.527N,0351901.196E,227.56,223.95,NO INFO,,NO
LTAF612,BUILDING,BUILDING,370002.374N,0351940.103E,318.34,312.00,NO INFO,,NO
LTAF613,BUILDING,BUILDING,365932.307N,0351942.880E,307.77,270.17,NO INFO,,NO
LTAF614,BUILDING,BUILDING,365938.819N,0351930.073E,357.64,229.52,NO INFO,,NO
LTAF615,BUILDING,BUILDING,365929.794N,0351938.284E,335.17,248.99,NO INFO,,NO
LTAF616,BUILDING,BUILDING,370042.925N,0351729.737E,239.86,204.07,NO INFO,,NO
LTAF617,BUILDING,BUILDING,370125.040N,0351655.250E,305.77,298.22,NO INFO,,NO
LTAF618,BUILDING,BUILDING,370056.576N,0351716.455E,272.37,204.07,NO INFO,,NO
LTAF619,BUILDING,BUILDING,370056.351N,0351718.470E,273.82,204.07,NO INFO,,NO
LTAF620,BUILDING,BUILDING,370041.141N,0351825.145E,209.68,204.07,NO INFO,,NO
LTAF621,BUILDING,BUILDING,370028.457N,0351830.434E,204.43,204.07,NO INFO,,NO
LTAF622,BUILDING,BUILDING,370117.879N,0351739.568E,315.51,289.04,NO INFO,,NO
LTAF623,BUILDING,BUILDING,370118.471N,0351738.767E,315.55,291.04,NO INFO,,NO
LTAF624,BUILDING,BUILDING,370104.079N,0351813.786E,290.55,275.26,NO INFO,,NO
LTAF625,BUILDING,BUILDING,365949.314N,0351644.414E,206.69,204.07,NO INFO,,NO
LTAF626,BUILDING,BUILDING,370040.197N,0351637.933E,258.10,204.07,NO INFO,,NO
LTAF627,BUILDING,BUILDING,370040.942N,0351639.059E,352.78,204.07,NO INFO,,NO
LTAF628,BUILDING,BUILDING,370118.108N,0351723.984E,405.64,275.75,NO INFO,,NO
LTAF629,BUILDING,BUILDING,370103.052N,0351702.669E,242.52,204.07,NO INFO,,NO
LTAF630,BUILDING,BUILDING,365950.219N,0351807.766E,161.87,135.14,NO INFO,,NO
LTAF631,BUILDING,BUILDING,365929.233N,0352002.901E,394.35,345.74,NO INFO,,NO
LTAF632,BUILDING,BUILDING,365930.949N,0352002.335E,393.30,345.33,NO INFO,,NO
LTAF633,BUILDING,BUILDING,365932.486N,0352001.835E,357.80,345.08,NO INFO,,NO
LTAF634,BUILDING,BUILDING,365932.957N,0352004.004E,356.89,354.20,NO INFO,,NO
LTAF635,BUILDING,BUILDING,365931.420N,0352004.503E,400.98,356.03,NO INFO,,NO
LTAF636,BUILDING,BUILDING,365929.696N,0352005.242E,407.71,355.52,NO INFO,,NO
LTAF637,BUILDING,BUILDING,370012.728N,0351927.318E,267.06,266.86,NO INFO,,NO
LTAF638,BUILDING,BUILDING,370009.599N,0351913.462E,275.32,244.19,NO INFO,,NO
LTAF639,BUILDING,BUILDING,370000.198N,0351906.372E,259.87,225.00,NO INFO,,NO
LTAF640,BUILDING,BUILDING,370005.490N,0351902.007E,244.45,223.91,NO INFO,,NO
LTAF641,BUILDING,BUILDING,370008.382N,0351900.700E,252.23,225.26,NO INFO,,NO
LTAF642,BUILDING,BUILDING,370007.522N,0351900.986E,244.39,224.70,NO INFO,,NO
