Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group,
LTAJ_1,MAST,POLE,365643.40N,0372830.10E,2360.00,82.00,YES,RED,NO,
LTAJ_2,MAST,POLE,365643.90N,0372827.70E,2359.00,82.00,YES,RED,NO,
LTAJ_3,MAST,POLE,365644.60N,0372824.30E,2360.00,82.00,YES,RED,NO,
LTAJ_4,MAST,POLE,365645.20N,0372821.70E,2360.00,82.00,YES,RED,NO,
LTAJ_5,MAST,POLE,365648.60N,0372809.30E,2364.00,82.00,YES,RED,NO,
LTAJ_6,MAST,POLE,365650.80N,0372808.40E,2369.00,82.00,YES,RED,NO,
LTAJ_7,MAST,POLE,365650.10N,0372811.90E,2368.00,82.00,YES,RED,NO,
LTAJ_8,TOWER,TOWER,365648.20N,0372816.30E,2361.00,82.00,YES,RED,NO,
LTAJ_9,VOR ANTENNA,ANTENNA,365705.80N,0372822.70E,2394.00,75.00,YES,RED,NO,
LTAJ_10,ANTENNA,ANTENNA,365635.80N,0372741.60E,2484.00,164.00,YES,RED,NO,
LTAJ_11,BUILDING,BUILDING,365715.30N,0372726.60E,2381.00,32.00,YES,RED,NO,
LTAJ_16,WIRE FENCE,FENCE,365714.20N,0372738.80E,2339.60,6.60,YES,RED,NO,
LTAJ_17,WIRE FENCE,FENCE,365712.60N,0372745.20E,2334.50,6.60,YES,RED,NO,
LTAJ_18,MAST,POLE,365718.00N,0373128.00E,2799.00,42.60,YES,RED,NO,
LTAJ_20,BUILDING,BUILDING,365733.00N,0373124.00E,2569.00,75.50,YES,RED,NO,
LTAJ_21,BUILDING,BUILDING,365733.90N,0373122.90E,2477.00,73.80,NO,,NO,
LTAJ_22,BUILDING,BUILDING,365732.10N,0373123.70E,2473.00,57.40,NO,,NO,
LTAJ_23,BUILDING,BUILDING,365722.40N,0373109.00E,2385.00,49.20,NO,,NO,
LTAJ_24,MAST,POLE,365642.90N,0372832.50E,2365.00,82.00,YES,RED,NO,
LTAJ_25,MAST,POLE,365645.80N,0372819.30E,2365.00,82.00,YES,RED,NO,
LTAJ_26,LIGHTING POLE,POLE,365700.00N,0372832.20E,2287.33,17.39,YES,RED,NO,
LTAJ_27,LIGHTING POLE,POLE,365659.80N,0372833.10E,2286.40,17.39,NO,,NO,
LTAJ_28,LIGHTING POLE,POLE,365659.60N,0372834.20E,2284.55,17.39,NO,,NO,
LTAJ_29,LIGHTING POLE,POLE,365659.30N,0372835.20E,2283.38,17.39,NO,,NO,
LTAJ_30,LIGHTING POLE,POLE,365659.10N,0372836.40E,2282.10,17.39,YES,RED,NO,
LTAJ_31,LIGHTING POLE,POLE,365658.90N,0372837.10E,2281.30,17.39,NO,,NO,
LTAJ_32,LIGHTING POLE,POLE,365658.80N,0372837.90E,2280.13,17.39,NO,,NO,
LTAJ_33,LIGHTING POLE,POLE,365658.60N,0372838.70E,2279.36,17.39,NO,,NO,
LTAJ_34,LIGHTING POLE,POLE,365658.40N,0372839.50E,2278.09,17.39,YES,RED,NO,
LTAJ_35,LIGHTING POLE,POLE,365658.20N,0372840.50E,2277.21,17.39,NO,,NO,
LTAJ_36,LIGHTING POLE,POLE,365658.00N,0372841.50E,2275.79,17.39,NO,,NO,
LTAJ_37,LIGHTING POLE,POLE,365657.80N,0372842.40E,2274.57,17.39,NO,,NO,
LTAJ_38,LIGHTING POLE,POLE,365657.60N,0372843.20E,2273.44,17.39,YES,RED,NO,
LTAJ_39,LIGHTING POLE,POLE,365657.40N,0372844.20E,2272.65,17.39,NO,,NO,
LTAJ_40,LIGHTING POLE,POLE,365657.20N,0372845.10E,2270.82,17.39,NO,,NO,
LTAJ_41,LIGHTING POLE,POLE,365657.00N,0372846.00E,2269.18,17.39,NO,,NO,
LTAJ_42,LIGHTING POLE,POLE,365656.80N,0372846.90E,2267.06,17.39,YES,RED,NO,
LTAJ_43,LIGHTING POLE,POLE,365656.60N,0372847.90E,2264.08,17.39,NO,,NO,
LTAJ_44,LIGHTING POLE,POLE,365656.40N,0372848.70E,2262.19,17.39,NO,,NO,
LTAJ_45,LIGHTING POLE,POLE,365656.20N,0372849.60E,2260.85,17.39,NO,,NO,
LTAJ_46,LIGHTING POLE,POLE,365656.00N,0372850.60E,2258.18,17.39,NO,,NO,
LTAJ_47,LIGHTING POLE,POLE,365655.80N,0372851.50E,2256.08,17.39,NO,,NO,
LTAJ_48,LIGHTING POLE,POLE,365655.60N,0372852.50E,2254.02,17.39,NO,,NO,
LTAJ_49,RAPS ANTENNA,ANTENNA,365657.69N,0372828.56E,2284.00,13.00,NO,,NO,
LTAJ_50,OKIS,OTHER,365654.35N,0372841.55E,2263.00,2.00,NO,,NO,
LTAJ_51,CAMERA POLE,POLE,365704.50N,0372730.00E,2346.60,12.00,YES,RED,NO,
LTAJ_52,CAMERA POLE,POLE,365709.60N,0372731.80E,2349.10,12.20,YES,RED,NO,
LTAJ_53,CAMERA POLE,POLE,365714.00N,0372733.30E,2351.50,12.30,YES,RED,NO,
LTAJ_54,CAMERA POLE,POLE,365701.20N,0372828.00E,2292.20,15.90,YES,RED,NO,
LTAJ_55,RADAR BUILDING,BUILDING,365911.00N,0372704.60E,3010.60,109.90,YES,RED,NO,
LTAJ_56,CAMERA POLE,POLE,365701.78N,0372730.00E,2343.30,11.90,YES,RED,NO,
LTAJ_57,CAMERA POLE,POLE,365707.04N,0372730.80E,2347.20,11.90,YES,RED,NO,
LTAJ_58,CAMERA POLE,POLE,365712.17N,0372732.70E,2350.90,12.30,YES,RED,NO,
LTAJ_59,CAMERA POLE,POLE,365700.50N,0372830.75E,2285.10,13.10,YES,RED,NO,
LTAJ_60,CAMERA POLE,POLE,365657.20N,0372846.35E,2273.90,23.20,YES,RED,NO,
LTAJ_61,MAST,POLE,365642.40N,0372832.30E,2364.7,82,YES,RED,NO,
LTAJ_62,MAST,POLE,365642.00N,0372833.90E,2364.7,82,YES,RED,NO,
LTAJ_63,MAST,POLE,365641.60N,0372835.80E,2364.2,82,YES,RED,NO,
LTAJ_64,MAST,POLE,365641.20N,0372837.80E,2363.3,82,YES,RED,NO,
LTAJ_65,MAST,POLE,365640.90N,0372839.40E,2362.5,82,YES,RED,NO,
LTAJ_66,MAST,POLE,365640.50N,0372841.00E,2361.6,82,YES,RED,NO,
LTAJ_67,MAST,POLE,365640.20N,0372842.60E,2360.9,82,YES,RED,NO,
LTAJ_68,MAST,POLE,365639.80N,0372844.20E,2360.1,82,YES,RED,NO,
LTAJ_69,TOWER,TOWER,365639.25N,0372833.61E,2449.8,167.3,YES,RED,NO,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
