Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAN1,BUILDING,BUILDING,380029.086N,0323101.579E,3700.9,24.6,NO INFO,,NO
LTAN2,BUILDING,BUILDING,380033.855N,0323105.347E,3690.2,14.8,NO INFO,,NO
LTAN3,BUILDING,BUILDING,380034.425N,0323105.476E,3690.1,14.8,NO INFO,,NO
LTAN4,BUILDING,BUILDING,380035.901N,0323100.923E,3707.2,24.6,NO INFO,,NO
LTAN5,BUILDING,BUILDING,380030.665N,0323059.315E,3699.4,14.8,NO INFO,,NO
LTAN6,BUILDING,BUILDING,380031.757N,0323100.752E,3696.7,14.8,NO INFO,,NO
LTAN7,BUILDING,BUILDING,380037.924N,0323059.704E,3716.9,34.4,NO INFO,,NO
LTAN8,BUILDING,BUILDING,380040.002N,0323100.493E,3711.0,34.4,NO INFO,,NO
LTAN9,BUILDING,BUILDING,380043.277N,0323102.240E,3687.0,14.8,NO INFO,,NO
LTAN10,BUILDING,BUILDING,380041.820N,0323059.156E,3713.1,34.4,NO INFO,,NO
LTAN11,BUILDING,BUILDING,380042.820N,0323109.167E,3758.1,103.3,NO INFO,,NO
LTAN12,BUILDING,BUILDING,380043.213N,0323110.686E,3752.9,103.3,NO INFO,,NO
LTAN13,BUILDING,BUILDING,380043.545N,0323112.211E,3748.7,103.3,NO INFO,,NO
LTAN14,BUILDING,BUILDING,380040.631N,0323113.174E,3756.8,103.3,NO INFO,,NO
LTAN15,BUILDING,BUILDING,380040.343N,0323111.710E,3761.2,103.3,NO INFO,,NO
LTAN16,BUILDING,BUILDING,380039.978N,0323110.127E,3766.1,103.3,NO INFO,,NO
LTAN17,BUILDING,BUILDING,380038.573N,0323109.296E,3680.9,14.8,NO INFO,,NO
LTAN18,BUILDING,BUILDING,380049.049N,0323113.844E,3745.0,103.3,NO INFO,,NO
LTAN19,BUILDING,BUILDING,380047.674N,0323114.324E,3734.1,103.3,NO INFO,,NO
LTAN20,BUILDING,BUILDING,380047.868N,0323115.992E,3734.2,103.3,NO INFO,,NO
LTAN21,BUILDING,BUILDING,380049.068N,0323115.650E,3745.0,103.3,NO INFO,,NO
LTAN22,BUILDING,BUILDING,380048.200N,0323110.487E,3745.0,103.3,NO INFO,,NO
LTAN23,BUILDING,BUILDING,380051.667N,0323110.388E,3702.8,54.1,NO INFO,,NO
LTAN24,BUILDING,BUILDING,380052.838N,0323110.550E,3702.9,54.1,NO INFO,,NO
LTAN25,BUILDING,BUILDING,380053.937N,0323110.137E,3704.9,54.1,NO INFO,,NO
LTAN26,BUILDING,BUILDING,380054.884N,0323110.364E,3704.9,54.1,NO INFO,,NO
LTAN27,BUILDING,BUILDING,380055.787N,0323111.217E,3702.9,54.1,NO INFO,,NO
LTAN28,BUILDING,BUILDING,380056.750N,0323111.564E,3702.3,54.1,NO INFO,,NO
LTAN29,BUILDING,BUILDING,380056.601N,0323113.263E,3697.1,54.1,NO INFO,,NO
LTAN30,BUILDING,BUILDING,380055.471N,0323112.796E,3697.6,54.1,NO INFO,,NO
LTAN31,BUILDING,BUILDING,380054.322N,0323111.850E,3700.0,54.1,NO INFO,,NO
LTAN32,BUILDING,BUILDING,380053.010N,0323112.088E,3698.6,54.1,NO INFO,,NO
LTAN33,BUILDING,BUILDING,380051.880N,0323112.131E,3697.8,54.1,NO INFO,,NO
LTAN34,BUILDING,BUILDING,380052.409N,0323114.051E,3745.0,103.3,NO INFO,,NO
LTAN35,BUILDING,BUILDING,380052.628N,0323115.833E,3745.0,103.3,NO INFO,,NO
LTAN36,BUILDING,BUILDING,380053.848N,0323115.919E,3745.0,103.3,NO INFO,,NO
LTAN37,BUILDING,BUILDING,380055.041N,0323116.617E,3745.0,103.3,NO INFO,,NO
LTAN38,BUILDING,BUILDING,380056.387N,0323117.619E,3745.0,103.3,NO INFO,,NO
LTAN39,BUILDING,BUILDING,380057.685N,0323118.566E,3745.0,103.3,NO INFO,,NO
LTAN40,BUILDING,BUILDING,380058.903N,0323119.538E,3745.0,103.3,NO INFO,,NO
LTAN41,BUILDING,BUILDING,380059.144N,0323117.080E,3676.1,34.4,NO INFO,,NO
LTAN42,BUILDING,BUILDING,380058.111N,0323116.273E,3676.1,34.4,NO INFO,,NO
LTAN43,BUILDING,BUILDING,380057.019N,0323115.461E,3676.1,34.4,NO INFO,,NO
LTAN44,BUILDING,BUILDING,380055.650N,0323114.809E,3676.1,34.4,NO INFO,,NO
LTAN45,BUILDING,BUILDING,380054.815N,0323114.303E,3676.1,34.4,NO INFO,,NO
LTAN46,BUILDING,BUILDING,380053.975N,0323113.625E,3676.1,34.4,NO INFO,,NO
LTAN47,BUILDING,BUILDING,380059.902N,0323115.650E,3676.1,34.4,NO INFO,,NO
LTAN48,BUILDING,BUILDING,380059.331N,0323115.225E,3676.1,34.4,NO INFO,,NO
LTAN49,BUILDING,BUILDING,380058.805N,0323114.610E,3676.1,34.4,NO INFO,,NO
LTAN50,BUILDING,BUILDING,380100.140N,0323114.022E,3677.3,34.4,NO INFO,,NO
LTAN51,BUILDING,BUILDING,380059.539N,0323113.661E,3678.1,34.4,NO INFO,,NO
LTAN52,BUILDING,BUILDING,380058.811N,0323113.139E,3679.6,34.4,NO INFO,,NO
LTAN53,BUILDING,BUILDING,380058.185N,0323112.694E,3680.4,34.4,NO INFO,,NO
LTAN54,BUILDING,BUILDING,380059.583N,0323111.525E,3684.5,34.4,NO INFO,,NO
LTAN55,BUILDING,BUILDING,380100.279N,0323112.054E,3683.7,34.4,NO INFO,,NO
LTAN56,BUILDING,BUILDING,380100.560N,0323115.900E,3676.1,34.4,NO INFO,,NO
LTAN57,BUILDING,BUILDING,380101.649N,0323119.429E,3676.1,34.4,NO INFO,,NO
LTAN58,BUILDING,BUILDING,380102.552N,0323119.338E,3677.7,34.4,NO INFO,,NO
LTAN59,BUILDING,BUILDING,380103.024N,0323120.367E,3678.7,34.4,NO INFO,,NO
LTAN60,BUILDING,BUILDING,380102.348N,0323121.829E,3743.7,103.3,NO INFO,,NO
LTAN61,BUILDING,BUILDING,380101.359N,0323121.151E,3741.6,103.3,NO INFO,,NO
LTAN62,BUILDING,BUILDING,380104.009N,0323122.573E,3747.8,103.3,NO INFO,,NO
LTAN63,BUILDING,BUILDING,380105.331N,0323123.547E,3750.1,103.3,NO INFO,,NO
LTAN64,BUILDING,BUILDING,380104.546N,0323121.002E,3682.1,34.4,NO INFO,,NO
LTAN65,BUILDING,BUILDING,380105.708N,0323121.707E,3683.7,34.4,NO INFO,,NO
LTAN66,BUILDING,BUILDING,380106.717N,0323122.242E,3685.4,34.4,NO INFO,,NO
LTAN67,BUILDING,BUILDING,380107.263N,0323123.337E,3685.6,34.4,NO INFO,,NO
LTAN68,BUILDING,BUILDING,380107.613N,0323121.298E,3688.6,34.4,NO INFO,,NO
LTAN69,BUILDING,BUILDING,380106.682N,0323120.378E,3687.1,34.4,NO INFO,,NO
LTAN70,BUILDING,BUILDING,380107.173N,0323119.318E,3689.5,34.4,NO INFO,,NO
LTAN71,BUILDING,BUILDING,380105.870N,0323118.200E,3691.5,34.4,NO INFO,,NO
LTAN72,BUILDING,BUILDING,380105.361N,0323119.460E,3687.2,34.4,NO INFO,,NO
LTAN73,BUILDING,BUILDING,380100.705N,0323124.339E,3730.7,103.3,NO INFO,,NO
LTAN74,BUILDING,BUILDING,380102.948N,0323125.966E,3745.0,103.3,NO INFO,,NO
LTAN75,BUILDING,BUILDING,380104.881N,0323126.945E,3676.7,34.4,NO INFO,,NO
LTAN76,BUILDING,BUILDING,380106.147N,0323127.842E,3678.6,34.4,NO INFO,,NO
LTAN77,BUILDING,BUILDING,380105.273N,0323127.812E,3676.7,34.4,NO INFO,,NO
LTAN78,BUILDING,BUILDING,380104.404N,0323128.955E,3745.0,103.3,NO INFO,,NO
LTAN79,BUILDING,BUILDING,380103.581N,0323130.908E,3742.7,103.3,NO INFO,,NO
LTAN80,BUILDING,BUILDING,380102.581N,0323132.285E,3670.8,34.4,NO INFO,,NO
LTAN81,BUILDING,BUILDING,380103.039N,0323132.685E,3670.2,34.4,NO INFO,,NO
LTAN82,BUILDING,BUILDING,380103.468N,0323133.018E,3670.3,34.4,NO INFO,,NO
LTAN83,BUILDING,BUILDING,380100.773N,0323130.654E,3735.8,103.3,NO INFO,,NO
LTAN84,BUILDING,BUILDING,380101.940N,0323129.265E,3675.1,34.4,NO INFO,,NO
LTAN85,BUILDING,BUILDING,380101.646N,0323129.871E,3672.7,34.4,NO INFO,,NO
LTAN86,BUILDING,BUILDING,380102.823N,0323127.372E,3676.1,34.4,NO INFO,,NO
LTAN87,BUILDING,BUILDING,380101.655N,0323127.382E,3676.1,34.4,NO INFO,,NO
LTAN88,BUILDING,BUILDING,380100.484N,0323125.709E,3663.9,34.4,NO INFO,,NO
LTAN89,BUILDING,BUILDING,380100.159N,0323126.323E,3659.6,34.4,NO INFO,,NO
LTAN90,BUILDING,BUILDING,380059.749N,0323127.356E,3654.7,34.4,NO INFO,,NO
LTAN91,BUILDING,BUILDING,380059.488N,0323127.824E,3654.3,34.4,NO INFO,,NO
LTAN92,BUILDING,BUILDING,380058.844N,0323128.901E,3721.0,103.3,NO INFO,,NO
LTAN93,BUILDING,BUILDING,380057.747N,0323131.128E,3719.1,103.3,NO INFO,,NO
LTAN94,BUILDING,BUILDING,380059.891N,0323132.604E,3729.4,103.3,NO INFO,,NO
LTAN95,BUILDING,BUILDING,380101.562N,0323133.994E,3666.2,34.4,NO INFO,,NO
LTAN96,BUILDING,BUILDING,380101.982N,0323134.304E,3667.3,34.4,NO INFO,,NO
