Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,
LTAP_617,BUILDING,BUILDING,405142.63N,0352723.14E,2270.58,34.45,NO,,NO,,
LTAP_618,BUILDING,BUILDING,405143.99N,0352722.74E,2266.35,24.61,NO,,NO,,
LTAP_619,BUILDING,BUILDING,405146.24N,0352724.24E,2287.35,34.45,NO,,NO,,
LTAP_620,BUILDING,BUILDING,405141.40N,0352726.23E,2279.79,44.29,NO,,NO,,
LTAP_621,BUILDING,BUILDING,405141.36N,0352726.84E,2279.94,44.29,NO,,NO,,
LTAP_622,BUILDING,BUILDING,405141.48N,0352725.52E,2269.65,34.45,NO,,NO,,
LTAP_623,BUILDING,BUILDING,405143.43N,0352727.33E,2288.17,44.29,NO,,NO,,
LTAP_624,BUILDING,BUILDING,405143.62N,0352725.86E,2277.37,34.45,NO,,NO,,
LTAP_625,BUILDING,BUILDING,405144.40N,0352726.11E,2290.87,44.29,NO,,NO,,
LTAP_626,BUILDING,BUILDING,405142.98N,0352722.14E,2261.37,24.61,NO,,NO,,
LTAP_627,BUILDING,BUILDING,405140.77N,0352718.28E,2253.78,24.61,NO,,NO,,
LTAP_628,BUILDING,BUILDING,405136.63N,0352718.67E,2271.54,54.13,NO,,NO,,
LTAP_629,BUILDING,BUILDING,405137.24N,0352719.06E,2273.37,54.13,NO,,NO,,
LTAP_630,BUILDING,BUILDING,405138.01N,0352719.51E,2275.67,54.13,NO,,NO,,
LTAP_631,BUILDING,BUILDING,405138.84N,0352719.93E,2278.14,54.13,NO,,NO,,
LTAP_632,BUILDING,BUILDING,405138.48N,0352721.05E,2277.46,54.13,NO,,NO,,
LTAP_633,BUILDING,BUILDING,405137.74N,0352720.52E,2275.21,54.13,NO,,NO,,
LTAP_634,BUILDING,BUILDING,405136.92N,0352720.11E,2272.80,54.13,NO,,NO,,
LTAP_635,BUILDING,BUILDING,405136.31N,0352719.78E,2270.98,54.13,NO,,NO,,
LTAP_636,BUILDING,BUILDING,405135.40N,0352716.22E,2267.97,54.13,NO,,NO,,
LTAP_637,BUILDING,BUILDING,405135.62N,0352715.08E,2268.44,54.13,NO,,NO,,
LTAP_638,BUILDING,BUILDING,405136.45N,0352715.33E,2270.86,54.13,NO,,NO,,
LTAP_639,BUILDING,BUILDING,405136.11N,0352716.61E,2269.97,54.13,NO,,NO,,
LTAP_640,BUILDING,BUILDING,405137.34N,0352716.22E,2273.63,54.13,NO,,NO,,
LTAP_641,BUILDING,BUILDING,405138.44N,0352716.77E,2276.76,54.13,NO,,NO,,
LTAP_642,BUILDING,BUILDING,405133.82N,0352716.80E,2263.28,54.13,NO,,NO,,
LTAP_643,BUILDING,BUILDING,405134.22N,0352715.46E,2264.56,54.13,NO,,NO,,
LTAP_644,BUILDING,BUILDING,405133.39N,0352718.17E,2262.25,54.13,NO,,NO,,
LTAP_645,BUILDING,BUILDING,405139.42N,0352717.38E,2279.62,54.13,NO,,NO,,
LTAP_646,BUILDING,BUILDING,405138.03N,0352717.99E,2275.37,54.13,NO,,NO,,
LTAP_647,BUILDING,BUILDING,405137.10N,0352717.39E,2272.78,54.13,NO,,NO,,
LTAP_648,BUILDING,BUILDING,405137.67N,0352717.76E,2274.35,54.13,NO,,NO,,
LTAP_649,BUILDING,BUILDING,405139.83N,0352721.58E,2281.43,54.13,NO,,NO,,
LTAP_650,BUILDING,BUILDING,405135.23N,0352721.16E,2239.64,24.61,NO,,NO,,
LTAP_651,BUILDING,BUILDING,405134.27N,0352720.62E,2246.73,34.45,NO,,NO,,
LTAP_652,BUILDING,BUILDING,405131.89N,0352726.76E,2249.20,44.29,NO,,NO,,
LTAP_653,BUILDING,BUILDING,405131.17N,0352732.19E,2253.27,54.13,NO,,NO,,
LTAP_654,BUILDING,BUILDING,405131.72N,0352735.08E,2229.36,34.45,NO,,NO,,
LTAP_655,BUILDING,BUILDING,405135.81N,0352734.43E,2244.26,34.45,NO,,NO,,
LTAP_656,BUILDING,BUILDING,405136.93N,0352735.78E,2264.84,54.13,NO,,NO,,
LTAP_657,BUILDING,BUILDING,405138.08N,0352736.34E,2249.06,34.45,NO,,NO,,
LTAP_658,BUILDING,BUILDING,405140.78N,0352740.53E,2267.43,44.29,NO,,NO,,
LTAP_659,BUILDING,BUILDING,405140.20N,0352740.47E,2264.66,44.29,NO,,NO,,
LTAP_660,BUILDING,BUILDING,405140.52N,0352740.48E,2266.24,44.29,NO,,NO,,
LTAP_661,BUILDING,BUILDING,405140.35N,0352742.96E,2271.23,54.13,NO,,NO,,
LTAP_662,BUILDING,BUILDING,405140.03N,0352742.97E,2269.53,54.13,NO,,NO,,
LTAP_663,BUILDING,BUILDING,405145.32N,0352752.50E,2268.05,34.45,NO,,NO,,
LTAP_664,BUILDING,BUILDING,405139.86N,0352723.55E,2262.74,34.45,NO,,NO,,
LTAP_665,BUILDING,BUILDING,405139.31N,0352728.25E,2271.74,44.29,NO,,NO,,
LTAP_666,BUILDING,BUILDING,405139.98N,0352727.15E,2274.58,44.29,NO,,NO,,
LTAP_667,BUILDING,BUILDING,405137.91N,0352726.72E,2267.84,44.29,NO,,NO,,
LTAP_668,BUILDING,BUILDING,405139.48N,0352726.92E,2263.17,34.45,NO,,NO,,
LTAP_669,BUILDING,BUILDING,405142.86N,0352732.76E,2281.77,44.29,NO,,NO,,
LTAP_670,BUILDING,BUILDING,405142.95N,0352732.10E,2283.58,44.29,NO,,NO,,
LTAP_671,BUILDING,BUILDING,405143.01N,0352731.39E,2284.46,44.29,NO,,NO,,
LTAP_672,BUILDING,BUILDING,405143.59N,0352733.00E,2275.00,34.45,NO,,NO,,
LTAP_673,BUILDING,BUILDING,405144.91N,0352730.35E,2283.32,34.45,NO,,NO,,
LTAP_674,BUILDING,BUILDING,405143.00N,0352737.39E,2280.55,44.29,NO,,NO,,
LTAP_675,BUILDING,BUILDING,405144.40N,0352741.87E,2280.57,44.29,NO,,NO,,
LTAP_676,BUILDING,BUILDING,405144.33N,0352742.57E,2279.76,44.29,NO,,NO,,
LTAP_677,BUILDING,BUILDING,405149.38N,0352744.96E,2291.61,44.29,NO,,NO,,
LTAP_678,BUILDING,BUILDING,405148.86N,0352744.96E,2280.26,34.45,NO,,NO,,
LTAP_679,BUILDING,BUILDING,405151.25N,0352744.86E,2291.09,34.45,NO,,NO,,
LTAP_680,BUILDING,BUILDING,405150.76N,0352744.89E,2288.49,34.45,NO,,NO,,
LTAP_681,BUILDING,BUILDING,405146.19N,0352744.57E,2273.60,34.45,NO,,NO,,
LTAP_682,BUILDING,BUILDING,405146.19N,0352746.26E,2281.06,44.29,NO,,NO,,
LTAP_683,BUILDING,BUILDING,405153.70N,0352743.93E,2304.58,34.45,NO,,NO,,
LTAP_684,MOSQUE,BUILDING,405153.54N,0352745.08E,2312.28,44.29,NO,,NO,,
LTAP_685,MINARET,BUILDING,405153.78N,0352744.79E,2338.40,68.90,NO,,NO,,
LTAP_686,BUILDING,BUILDING,405152.71N,0352745.19E,2298.37,34.45,NO,,NO,,
LTAP_687,BUILDING,BUILDING,405152.08N,0352745.13E,2295.16,34.45,NO,,NO,,
LTAP_688,BUILDING,BUILDING,405152.01N,0352745.78E,2294.00,34.45,NO,,NO,,
LTAP_689,BUILDING,BUILDING,405151.92N,0352746.49E,2292.57,34.45,NO,,NO,,
LTAP_690,BUILDING,BUILDING,405152.54N,0352747.24E,2294.92,34.45,NO,,NO,,
LTAP_691,BUILDING,BUILDING,405151.88N,0352747.28E,2291.76,34.45,NO,,NO,,
LTAP_692,BUILDING,BUILDING,405149.37N,0352730.33E,2298.21,34.45,NO,,NO,,
LTAP_693,BUILDING,BUILDING,405152.87N,0352729.57E,2309.47,24.61,NO,,NO,,
LTAP_694,BUILDING,BUILDING,405153.72N,0352730.65E,2314.59,24.61,NO,,NO,,
LTAP_695,BUILDING,BUILDING,405154.92N,0352732.84E,2321.17,24.61,NO,,NO,,
LTAP_696,BUILDING,BUILDING,405155.36N,0352732.86E,2321.17,24.61,NO,,NO,,
LTAP_697,BUILDING,BUILDING,405155.02N,0352732.17E,2311.32,14.76,NO,,NO,,
LTAP_698,BUILDING,BUILDING,405154.39N,0352738.92E,2313.94,34.45,NO,,NO,,
LTAP_699,BUILDING,BUILDING,405155.90N,0352737.49E,2332.80,44.29,NO,,NO,,
LTAP_700,BUILDING,BUILDING,405156.63N,0352739.64E,2333.49,44.29,NO,,NO,,
LTAP_701,BUILDING,BUILDING,405155.83N,0352738.82E,2331.02,44.29,NO,,NO,,
LTAP_702,BUILDING,BUILDING,405157.75N,0352738.05E,2341.32,44.29,NO,,NO,,
LTAP_703,BUILDING,BUILDING,405157.70N,0352738.79E,2329.99,34.45,NO,,NO,,
LTAP_704,BUILDING,BUILDING,405157.55N,0352740.10E,2327.43,34.45,NO,,NO,,
LTAP_705,BUILDING,BUILDING,405157.59N,0352739.49E,2328.38,34.45,NO,,NO,,
