Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTAU_1,BUILDING,BUILDING,384855.709N,0352635.211E,3942.6,14.8,NO INFO,,NO
LTAU_2,BUILDING,BUILDING,384813.381N,0352658.283E,3723.4,34.4,NO INFO,,NO
LTAU_3,BUILDING,BUILDING,384809.639N,0352659.323E,3717.1,34.4,NO INFO,,NO
LTAU_4,BUILDING,BUILDING,384757.064N,0352656.889E,3649.9,14.8,NO INFO,,NO
LTAU_5,BUILDING,BUILDING,384801.336N,0352650.620E,3682.7,73.8,NO INFO,,NO
LTAU_6,BUILDING,BUILDING,384801.398N,0352652.761E,3691.2,73.8,NO INFO,,NO
LTAU_7,BUILDING,BUILDING,384759.272N,0352650.302E,3678.2,73.8,NO INFO,,NO
LTAU_8,BUILDING,BUILDING,384757.445N,0352650.487E,3675.0,73.8,NO INFO,,NO
LTAU_9,BUILDING,BUILDING,384759.054N,0352653.023E,3694.5,73.8,NO INFO,,NO
LTAU_10,BUILDING,BUILDING,384756.868N,0352652.934E,3687.8,73.8,NO INFO,,NO
LTAU_11,BUILDING,BUILDING,384755.774N,0352650.854E,3672.2,73.8,NO INFO,,NO
LTAU_12,BUILDING,BUILDING,384753.811N,0352652.912E,3675.1,73.8,NO INFO,,NO
LTAU_13,BUILDING,BUILDING,384755.362N,0352653.637E,3686.4,73.8,NO INFO,,NO
LTAU_14,BUILDING,BUILDING,384756.227N,0352655.339E,3697.9,73.8,NO INFO,,NO
LTAU_15,BUILDING,BUILDING,384754.502N,0352655.252E,3687.4,73.8,NO INFO,,NO
LTAU_16,BUILDING,BUILDING,384757.876N,0352654.970E,3702.1,73.8,NO INFO,,NO
LTAU_17,BUILDING,BUILDING,384752.552N,0352654.610E,3679.8,73.8,NO INFO,,NO
LTAU_18,BUILDING,BUILDING,384757.977N,0352642.167E,3680.1,103.3,NO INFO,,NO
LTAU_19,BUILDING,BUILDING,384758.950N,0352641.183E,3687.8,103.3,NO INFO,,NO
LTAU_20,BUILDING,BUILDING,384759.029N,0352643.763E,3683.4,103.3,NO INFO,,NO
LTAU_21,BUILDING,BUILDING,384757.041N,0352643.923E,3679.5,103.3,NO INFO,,NO
LTAU_22,BUILDING,BUILDING,384756.503N,0352640.724E,3697.6,123.0,NO INFO,,NO
LTAU_23,BUILDING,BUILDING,384755.319N,0352640.108E,3692.8,123.0,NO INFO,,NO
LTAU_24,BUILDING,BUILDING,384755.699N,0352642.150E,3695.1,123.0,NO INFO,,NO
LTAU_25,BUILDING,BUILDING,384752.190N,0352643.453E,3684.8,123.0,NO INFO,,NO
LTAU_26,BUILDING,BUILDING,384754.882N,0352648.458E,3655.9,73.8,NO INFO,,NO
LTAU_27,BUILDING,BUILDING,384742.823N,0352650.795E,3673.8,123.0,NO INFO,,NO
LTAU_28,BUILDING,BUILDING,384742.176N,0352651.365E,3678.5,123.0,NO INFO,,NO
LTAU_29,BUILDING,BUILDING,384744.003N,0352652.829E,3687.1,123.0,NO INFO,,NO
