Obstacle_Designator ,AIXM_NAME,Obstacle Type (AIXM),Latitude,Longitude,Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,
LTAW1,TREE,TREE,401613.51N,0362154.49E,2978.97,75.22,NO INFO,,NO,
LTAW2,TREE,TREE,401603.25N,0362153.16E,3070.83,53.83,NO INFO,,NO,
LTAW3,TREE,TREE,401613.19N,0362145.60E,2562.30,26.46,NO INFO,,NO,
LTAW4,TREE,TREE,401612.68N,0362146.19E,2575.43,23.27,NO INFO,,NO,
LTAW5,TREE,TREE,401612.48N,0362146.51E,2585.27,24.97,NO INFO,,NO,
LTAW6,TREE,TREE,401611.93N,0362146.64E,2608.24,35.46,NO INFO,,NO,
LTAW7,TREE,TREE,401611.61N,0362146.68E,2611.52,34.68,NO INFO,,NO,
LTAW8,TREE,TREE,401611.55N,0362146.98E,2608.24,33.08,NO INFO,,NO,
LTAW9,TREE,TREE,401605.54N,0362212.76E,3139.73,26.40,NO INFO,,NO,
LTAW10,TREE,TREE,401602.15N,0362209.19E,3218.46,34.53,NO INFO,,NO,
LTAW11,TREE,TREE,401605.18N,0362208.61E,3129.88,64.96,NO INFO,,NO,
LTAW12,TREE,TREE,401605.13N,0362208.42E,3133.16,69.26,NO INFO,,NO,
LTAW13,TREE,TREE,401604.94N,0362208.34E,3116.76,50.09,NO INFO,,NO,
LTAW14,TREE,TREE,401606.20N,0362210.34E,3100.36,30.53,NO INFO,,NO,
LTAW15,TREE,TREE,401605.96N,0362210.66E,3103.64,23.91,NO INFO,,NO,
LTAW16,TREE,TREE,401606.96N,0362211.22E,3100.36,24.39,NO INFO,,NO,
LTAW17,TREE,TREE,401605.28N,0362203.31E,3074.11,40.43,NO INFO,,NO,
LTAW18,TREE,TREE,401605.41N,0362203.91E,3093.79,60.91,NO INFO,,NO,
LTAW19,TREE,TREE,401605.55N,0362204.02E,3083.95,53.15,NO INFO,,NO,
LTAW20,TREE,TREE,401605.54N,0362204.34E,3080.67,48.97,NO INFO,,NO,
LTAW21,TREE,TREE,401605.65N,0362204.74E,3070.83,40.24,NO INFO,,NO,
LTAW22,TREE,TREE,401605.77N,0362204.93E,3087.23,58.07,NO INFO,,NO,
LTAW23,TREE,TREE,401605.89N,0362205.35E,3087.23,57.80,NO INFO,,NO,
LTAW24,TREE,TREE,401606.04N,0362205.59E,3087.23,58.60,NO INFO,,NO,
LTAW25,TREE,TREE,401606.12N,0362206.07E,3093.79,63.46,NO INFO,,NO,
LTAW26,TREE,TREE,401606.37N,0362206.12E,3090.51,62.02,NO INFO,,NO,
LTAW27,TREE,TREE,401606.39N,0362206.42E,3090.51,60.59,NO INFO,,NO,
LTAW28,TREE,TREE,401606.56N,0362206.72E,3080.67,50.32,NO INFO,,NO,
LTAW29,TREE,TREE,401606.82N,0362207.05E,3057.71,27.50,NO INFO,,NO,
LTAW30,TREE,TREE,401607.13N,0362207.26E,3057.71,28.63,NO INFO,,NO,
LTAW31,TREE,TREE,401607.26N,0362207.55E,3070.83,43.75,NO INFO,,NO,
LTAW32,TREE,TREE,401607.22N,0362207.43E,3067.55,37.77,NO INFO,,NO,
LTAW33,TREE,TREE,401607.92N,0362205.36E,3074.11,66.91,NO INFO,,NO,
LTAW34,TREE,TREE,401607.40N,0362204.53E,3031.46,25.77,NO INFO,,NO,
LTAW35,TREE,TREE,401608.82N,0362209.67E,3067.55,26.26,NO INFO,,NO,
LTAW36,TREE,TREE,401608.19N,0362210.77E,3083.95,22.02,NO INFO,,NO,
LTAW37,TREE,TREE,401608.55N,0362210.87E,3083.95,22.42,NO INFO,,NO,
LTAW38,TREE,TREE,401609.08N,0362207.29E,3047.86,29.89,NO INFO,,NO,
LTAW39,TREE,TREE,401609.52N,0362207.45E,3047.86,28.85,NO INFO,,NO,
LTAW40,TREE,TREE,401609.49N,0362204.98E,3015.06,26.05,NO INFO,,NO,
LTAW41,TREE,TREE,401612.68N,0362206.51E,3041.30,26.24,NO INFO,,NO,
LTAW42,TREE,TREE,401611.14N,0362202.26E,2962.56,55.55,NO INFO,,NO,
LTAW43,TREE,TREE,401609.79N,0362200.88E,2969.12,30.96,NO INFO,,NO,
LTAW44,TREE,TREE,401609.83N,0362201.23E,2969.12,30.28,NO INFO,,NO,
LTAW45,TREE,TREE,401606.78N,0362202.56E,3024.90,26.20,NO INFO,,NO,
LTAW46,TREE,TREE,401606.52N,0362200.90E,3008.49,23.14,NO INFO,,NO,
LTAW47,TREE,TREE,401606.56N,0362158.02E,2949.44,35.53,NO INFO,,NO,
LTAW48,TREE,TREE,401605.31N,0362157.98E,2946.16,22.34,NO INFO,,NO,
LTAW49,TREE,TREE,401608.08N,0362158.42E,2946.16,26.31,NO INFO,,NO,
LTAW50,TREE,TREE,401608.52N,0362156.95E,2939.60,50.55,NO INFO,,NO,
LTAW51,TREE,TREE,401609.19N,0362156.67E,2929.75,47.22,NO INFO,,NO,
LTAW52,TREE,TREE,401610.43N,0362157.13E,2910.07,32.88,NO INFO,,NO,
LTAW53,TREE,TREE,401610.45N,0362158.22E,2929.75,38.94,NO INFO,,NO,
LTAW54,TREE,TREE,401612.52N,0362155.59E,2965.84,54.85,NO INFO,,NO,
LTAW55,TREE,TREE,401603.68N,0362157.61E,2959.28,26.73,NO INFO,,NO,
LTAW56,TREE,TREE,401602.20N,0362157.59E,2962.56,24.32,NO INFO,,NO,
LTAW57,TREE,TREE,401606.11N,0362232.59E,3480.93,25.83,NO INFO,,NO,
LTAW58,TREE,TREE,401606.90N,0362230.32E,3461.24,23.10,NO INFO,,NO,
LTAW59,TREE,TREE,401607.77N,0362227.37E,3428.44,26.19,NO INFO,,NO,
LTAW60,TREE,TREE,401609.21N,0362228.64E,3408.75,22.35,NO INFO,,NO,
LTAW61,TREE,TREE,401608.65N,0362231.51E,3418.59,27.14,NO INFO,,NO,
LTAW62,TREE,TREE,401608.71N,0362230.70E,3421.87,28.48,NO INFO,,NO,
LTAW63,TREE,TREE,401608.53N,0362232.08E,3418.59,25.75,NO INFO,,NO,
LTAW64,TREE,TREE,401606.63N,0362229.11E,3471.09,26.28,NO INFO,,NO,
LTAW65,TREE,TREE,401610.68N,0362231.03E,3382.50,27.25,NO INFO,,NO,
LTAW66,TREE,TREE,401610.71N,0362228.32E,3379.22,27.74,NO INFO,,NO,
LTAW67,TREE,TREE,401610.44N,0362228.38E,3382.50,24.50,NO INFO,,NO,
LTAW68,TREE,TREE,401610.20N,0362228.48E,3385.79,22.36,NO INFO,,NO,
LTAW69,TREE,TREE,401610.91N,0362228.73E,3372.66,24.90,NO INFO,,NO,
LTAW70,TREE,TREE,401610.63N,0362226.62E,3372.66,25.27,NO INFO,,NO,
LTAW71,TREE,TREE,401611.21N,0362226.91E,3359.54,19.20,NO INFO,,NO,
LTAW72,TREE,TREE,401610.05N,0362226.09E,3385.79,30.87,NO INFO,,NO,
LTAW73,TREE,TREE,401609.43N,0362227.23E,3402.19,27.10,NO INFO,,NO,
LTAW74,TREE,TREE,401609.36N,0362227.65E,3402.19,23.18,NO INFO,,NO,
LTAW75,TREE,TREE,401609.82N,0362229.29E,3392.35,22.34,NO INFO,,NO,
LTAW76,TREE,TREE,401613.23N,0362230.37E,3343.14,23.39,NO INFO,,NO,
LTAW77,TREE,TREE,401613.48N,0362230.55E,3339.85,22.03,NO INFO,,NO,
LTAW78,TREE,TREE,401614.07N,0362231.06E,3343.14,24.64,NO INFO,,NO,
LTAW79,TREE,TREE,401613.46N,0362230.12E,3333.29,18.10,NO INFO,,NO,
LTAW80,TREE,TREE,401614.44N,0362229.17E,3320.17,24.93,NO INFO,,NO,
LTAW81,TREE,TREE,401614.19N,0362229.54E,3323.45,22.57,NO INFO,,NO,
LTAW82,TREE,TREE,401614.45N,0362232.54E,3356.26,25.99,NO INFO,,NO,
LTAW83,TREE,TREE,401605.23N,0362226.96E,3441.56,13.92,NO INFO,,NO,
LTAW84,TREE,TREE,401605.90N,0362225.53E,3418.59,26.06,NO INFO,,NO,
LTAW85,TREE,TREE,401605.04N,0362224.63E,3418.59,26.84,NO INFO,,NO,
LTAW86,TREE,TREE,401604.66N,0362224.28E,3415.31,23.23,NO INFO,,NO,
LTAW87,TREE,TREE,401604.32N,0362223.77E,3415.31,24.79,NO INFO,,NO,
LTAW88,TREE,TREE,401604.07N,0362223.00E,3402.19,16.21,NO INFO,,NO,
LTAW89,TREE,TREE,401604.35N,0362221.48E,3375.94,22.60,NO INFO,,NO,
LTAW90,TREE,TREE,401604.39N,0362220.99E,3366.10,25.49,NO INFO,,NO,
LTAW91,TREE,TREE,401606.43N,0362222.01E,3392.35,61.60,NO INFO,,NO,
LTAW92,TREE,TREE,401606.62N,0362221.91E,3389.07,65.14,NO INFO,,NO,
LTAW93,TREE,TREE,401606.75N,0362221.77E,3366.10,50.55,NO INFO,,NO,
LTAW94,TREE,TREE,401606.81N,0362221.67E,3362.82,52.12,NO INFO,,NO,
LTAW95,TREE,TREE,401606.79N,0362222.13E,3382.50,54.96,NO INFO,,NO,
LTAW96,TREE,TREE,401606.98N,0362222.07E,3372.66,51.76,NO INFO,,NO,
LTAW97,TREE,TREE,401607.21N,0362222.21E,3385.79,63.85,NO INFO,,NO,
LTAW98,TREE,TREE,401607.02N,0362222.39E,3382.50,52.18,NO INFO,,NO,
LTAW99,TREE,TREE,401607.21N,0362222.11E,3375.94,57.44,NO INFO,,NO,
LTAW100,TREE,TREE,401607.44N,0362222.60E,3392.35,60.75,NO INFO,,NO,
LTAW101,TREE,TREE,401607.61N,0362222.52E,3382.50,54.44,NO INFO,,NO,
LTAW102,TREE,TREE,401607.68N,0362222.61E,3369.38,39.06,NO INFO,,NO,
LTAW103,TREE,TREE,401607.74N,0362221.91E,3356.26,50.07,NO INFO,,NO,
LTAW104,TREE,TREE,401607.69N,0362221.82E,3352.98,49.30,NO INFO,,NO,
LTAW105,TREE,TREE,401607.85N,0362221.60E,3356.26,56.45,NO INFO,,NO,
LTAW106,TREE,TREE,401607.93N,0362221.42E,3349.70,53.44,NO INFO,,NO,
LTAW107,TREE,TREE,401608.31N,0362220.84E,3349.70,59.97,NO INFO,,NO,
