Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,
LTBA1,BUILDING,BUILDING,410050.987N,0284937.918E,341.6,73.81,NO INFO,,NO,,,,,
LTBA2,BUILDING,BUILDING,410030.169N,0284931.593E,274.3,44.29,NO INFO,,NO,,,,,
LTBA3,BUILDING,BUILDING,410047.950N,0284929.943E,296.0,14.76,NO INFO,,NO,,,,,
LTBA4,BUILDING,BUILDING,410045.621N,0284912.288E,273.4,73.81,NO INFO,,NO,,,,,
LTBA5,BUILDING,BUILDING,410037.502N,0284919.382E,271.1,24.60,NO INFO,,NO,,,,,
LTBA6,BUILDING,BUILDING,410038.306N,0284919.383E,265.1,14.76,NO INFO,,NO,,,,,
LTBA7,BUILDING,BUILDING,410038.161N,0284918.668E,260.5,14.76,NO INFO,,NO,,,,,
LTBA8,BUILDING,BUILDING,410037.265N,0284920.321E,264.1,14.76,NO INFO,,NO,,,,,
LTBA9,BUILDING,BUILDING,410026.795N,0284920.955E,280.2,73.81,NO INFO,,NO,,,,,
LTBA10,BUILDING,BUILDING,410028.247N,0284921.335E,284.4,73.81,NO INFO,,NO,,,,,
LTBA11,BUILDING,BUILDING,410034.139N,0284923.809E,259.4,24.60,NO INFO,,NO,,,,,
LTBA12,BUILDING,BUILDING,410032.443N,0284925.050E,265.5,44.29,NO INFO,,NO,,,,,
LTBA13,BUILDING,BUILDING,410032.365N,0284924.712E,266.1,44.29,NO INFO,,NO,,,,,
LTBA14,BUILDING,BUILDING,410034.201N,0284923.366E,261.7,24.60,NO INFO,,NO,,,,,
LTBA15,BUILDING,BUILDING,410034.214N,0284923.556E,270.9,34.44,NO INFO,,NO,,,,,
LTBA16,BUILDING,BUILDING,410045.499N,0284753.431E,303.2,14.76,NO INFO,,NO,,,,,
LTBA17,BUILDING,BUILDING,410045.497N,0284753.773E,301.9,14.76,NO INFO,,NO,,,,,
LTBA18,BUILDING,BUILDING,410045.553N,0284754.100E,300.8,14.76,NO INFO,,NO,,,,,
LTBA19,BUILDING,BUILDING,410039.636N,0284737.455E,318.2,14.76,NO INFO,,NO,,,,,
LTBA20,BUILDING,BUILDING,410032.662N,0284741.130E,322.0,34.44,NO INFO,,NO,,,,,
LTBA21,BUILDING,BUILDING,410037.197N,0284752.572E,316.2,24.60,NO INFO,,NO,,,,,
LTBA22,BUILDING,BUILDING,410037.223N,0284747.887E,351.8,54.13,NO INFO,,NO,,,,,
LTBA23,BUILDING,BUILDING,410022.264N,0284739.552E,287.2,14.76,NO INFO,,NO,,,,,
LTBA24,BUILDING,BUILDING,410742.236N,0284650.629E,759.0,241.1,NO INFO,,NO,,,,,
LTBA26,BUILDING,BUILDING,405734.775N,0285021.727E,295.0,280.5,YES,RED,NO,,,,,
LTBA31,BUILDING,BUILDING,410740.945N,0284653.075E,776.1,241.1,NO INFO,,NO,,,,,
LTBA44,BUILDING,BUILDING,410001.272N,0284802.203E,266.4,54.13,NO INFO,,NO,,,,,
LTBA45,BUILDING,BUILDING,410000.821N,0284802.021E,263.6,54.13,NO INFO,,NO,,,,,
LTBA47,BUILDING,BUILDING,410003.464N,0284811.300E,246.5,73.81,YES,RED,NO,,,,,
LTBA48,MOSQUE,BUILDING,410005.291N,0284810.194E,225.0,34.44,YES,WHITE,NO,,,,,
LTBA49,BUILDING,BUILDING,410006.101N,0284811.111E,207.3,24.60,NO INFO,,NO,,,,,
LTBA50,BUILDING,BUILDING,410004.224N,0284813.687E,214.1,34.44,NO INFO,,NO,,,,,
LTBA51,BUILDING,BUILDING,410007.417N,0284810.354E,211.5,34.44,NO INFO,,NO,,,,,
LTBA52,BUILDING,BUILDING,410018.506N,0284801.623E,263.2,54.13,NO INFO,,NO,,,,,
LTBA53,BUILDING,BUILDING,410018.476N,0284802.248E,257.5,54.13,NO INFO,,NO,,,,,
LTBA54,BUILDING,BUILDING,410017.516N,0284757.773E,277.3,44.29,NO INFO,,NO,,,,,
LTBA55,BUILDING,BUILDING,410017.009N,0284757.750E,276.5,44.29,NO INFO,,NO,,,,,
LTBA56,BUILDING,BUILDING,410016.642N,0284758.356E,272.7,44.29,NO INFO,,NO,,,,,
LTBA58,BUILDING,BUILDING,410019.137N,0284758.161E,275.5,44.29,NO INFO,,NO,,,,,
LTBA59,BUILDING,BUILDING,410019.714N,0284758.150E,257.0,24.60,NO INFO,,NO,,,,,
LTBA60,BUILDING,BUILDING,410023.561N,0284758.807E,289.6,44.29,NO INFO,,NO,,,,,
LTBA62,BUILDING,BUILDING,410014.994N,0284758.509E,261.9,34.44,NO INFO,,NO,,,,,
LTBA63,BUILDING,BUILDING,410014.984N,0284758.125E,274.3,44.29,NO INFO,,NO,,,,,
LTBA64,BUILDING,BUILDING,410015.028N,0284759.351E,256.6,34.44,NO INFO,,NO,,,,,
LTBA65,BUILDING,BUILDING,410016.147N,0284800.128E,273.1,54.13,NO INFO,,NO,,,,,
LTBA66,BUILDING,BUILDING,410016.105N,0284759.287E,277.2,54.13,NO INFO,,NO,,,,,
LTBA67,BUILDING,BUILDING,410016.049N,0284758.383E,283.0,54.13,NO INFO,,NO,,,,,
