Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTBF_1,BUILDING,BUILDING,393719.871N,0275238.039E,609.89,34.45,NO INFO,,NO,,,,
LTBF_2,BUILDING,BUILDING,393720.364N,0275238.533E,611.10,34.45,NO INFO,,NO,,,,
LTBF_3,BUILDING,BUILDING,393720.984N,0275238.704E,619.39,34.45,NO INFO,,NO,,,,
LTBF_4,BUILDING,BUILDING,393719.622N,0275240.622E,577.51,34.45,NO INFO,,NO,,,,
LTBF_5,BUILDING,BUILDING,393716.568N,0275241.230E,558.08,34.45,NO INFO,,NO,,,,
LTBF_6,BUILDING,BUILDING,393717.551N,0275242.840E,553.36,34.45,NO INFO,,NO,,,,
LTBF_7,BUILDING,BUILDING,393717.847N,0275243.130E,553.09,34.45,NO INFO,,NO,,,,
LTBF_8,BUILDING,BUILDING,393718.120N,0275243.373E,552.83,34.45,NO INFO,,NO,,,,
LTBF_9,BUILDING,BUILDING,393718.855N,0275240.306E,577.50,44.29,NO INFO,,NO,,,,
LTBF_10,BUILDING,BUILDING,393719.903N,0275240.866E,590.05,44.29,NO INFO,,NO,,,,
LTBF_11,BUILDING,BUILDING,393720.447N,0275239.885E,596.08,34.45,NO INFO,,NO,,,,
LTBF_12,BUILDING,BUILDING,393723.714N,0275238.749E,635.95,34.45,NO INFO,,NO,,,,
LTBF_13,BUILDING,BUILDING,393720.437N,0275242.398E,570.23,34.45,NO INFO,,NO,,,,
LTBF_14,BUILDING,BUILDING,393720.688N,0275242.551E,574.29,34.45,NO INFO,,NO,,,,
LTBF_15,BUILDING,BUILDING,393721.530N,0275242.749E,582.19,34.45,NO INFO,,NO,,,,
LTBF_16,BUILDING,BUILDING,393723.977N,0275236.969E,646.29,34.45,NO INFO,,NO,,,,
LTBF_17,BUILDING,BUILDING,393723.868N,0275237.354E,644.23,34.45,NO INFO,,NO,,,,
