Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,
LTBH_1,BUILDING,BUILDING,400634.92N,0262458.90E,282.08,44.29,NO,,NO,,,,,,,,,,
LTBH_2,BUILDING,BUILDING,400637.14N,0262509.34E,409.63,44.29,NO,,NO,,,,,,,,,,
LTBH_3,BUILDING,BUILDING,400637.75N,0262445.03E,188.65,24.61,NO,,NO,,,,,,,,,,
LTBH_4,BUILDING,BUILDING,400641.49N,0262511.41E,422.94,34.45,NO,,NO,,,,,,,,,,
LTBH_5,BUILDING,BUILDING,400640.20N,0262450.77E,247.70,34.45,NO,,NO,,,,,,,,,,
LTBH_6,BUILDING,BUILDING,400641.36N,0262502.12E,323.97,34.45,YES,RED,NO,,,,,,,,,,
LTBH_7,BUILDING,BUILDING,400642.64N,0262455.76E,265.08,34.45,YES,RED,NO,,,,,,,,,,
LTBH_8,BUILDING,BUILDING,400643.22N,0262505.83E,349.34,34.45,NO,,NO,,,,,,,,,,
LTBH_9,BUILDING,BUILDING,400646.47N,0262518.04E,427.06,44.29,NO,,NO,,,,,,,,,,
LTBH_10,BUILDING,BUILDING,400646.91N,0262518.63E,413.87,24.61,NO,,NO,,,,,,,,,,
LTBH_11,BUILDING,BUILDING,400647.32N,0262518.23E,435.90,54.13,NO,,NO,,,,,,,,,,
LTBH_12,BUILDING,BUILDING,400647.86N,0262519.29E,432.98,44.29,NO,,NO,,,,,,,,,,
LTBH_13,BUILDING,BUILDING,400654.09N,0262504.30E,252.81,54.13,NO,,NO,,,,,,,,,,
LTBH_14,BUILDING,BUILDING,400654.45N,0262501.48E,176.84,34.45,NO,,NO,,,,,,,,,,
LTBH_15,BUILDING,BUILDING,400654.87N,0262500.79E,175.55,34.45,NO,,NO,,,,,,,,,,
LTBH_16,BUILDING,BUILDING,400654.88N,0262504.40E,250.32,54.13,NO,,NO,,,,,,,,,,
LTBH_17,BUILDING,BUILDING,400655.28N,0262500.10E,175.29,34.45,NO,,NO,,,,,,,,,,
LTBH_18,BUILDING,BUILDING,400655.33N,0262503.64E,232.40,54.13,NO,,NO,,,,,,,,,,
LTBH_19,BUILDING,BUILDING,400655.52N,0262508.06E,256.98,34.45,NO,,NO,,,,,,,,,,
LTBH_20,BUILDING,BUILDING,400655.43N,0262506.05E,260.15,54.13,NO,,NO,,,,,,,,,,
LTBH_21,BUILDING,BUILDING,400655.58N,0262508.90E,266.30,34.45,NO,,NO,,,,,,,,,,
LTBH_22,BUILDING,BUILDING,400655.79N,0262502.89E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_23,BUILDING,BUILDING,400656.17N,0262508.37E,253.75,34.45,NO,,NO,,,,,,,,,,
LTBH_24,BUILDING,BUILDING,400656.20N,0262509.28E,262.33,34.45,NO,,NO,,,,,,,,,,
LTBH_25,BUILDING,BUILDING,400656.22N,0262505.92E,249.71,54.13,NO,,NO,,,,,,,,,,
LTBH_26,BUILDING,BUILDING,400656.14N,0262500.90E,212.42,54.13,NO,,NO,,,,,,,,,,
LTBH_27,BUILDING,BUILDING,400656.12N,0262504.90E,240.69,54.13,NO,,NO,,,,,,,,,,
LTBH_28,BUILDING,BUILDING,400656.29N,0262510.18E,274.41,34.45,NO,,NO,,,,,,,,,,
LTBH_29,BUILDING,BUILDING,400656.25N,0262502.13E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_30,BUILDING,BUILDING,400656.90N,0262504.74E,231.48,54.13,NO,,NO,,,,,,,,,,
LTBH_31,BUILDING,BUILDING,400656.83N,0262503.68E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_32,BUILDING,BUILDING,400656.97N,0262500.98E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_33,BUILDING,BUILDING,400657.13N,0262507.27E,232.29,34.45,NO,,NO,,,,,,,,,,
LTBH_34,BUILDING,BUILDING,400657.54N,0262506.51E,221.34,34.45,NO,,NO,,,,,,,,,,
LTBH_35,BUILDING,BUILDING,400657.66N,0262503.53E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_36,BUILDING,BUILDING,400657.58N,0262502.47E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_37,BUILDING,BUILDING,400658.02N,0262507.72E,237.46,34.45,NO,,NO,,,,,,,,,,
LTBH_38,BUILDING,BUILDING,400658.02N,0262505.72E,207.58,34.45,NO,,NO,,,,,,,,,,
LTBH_39,BUILDING,BUILDING,400658.32N,0262501.73E,218.18,54.13,NO,,NO,,,,,,,,,,
LTBH_40,BUILDING,BUILDING,400658.50N,0262506.92E,226.03,34.45,NO,,NO,,,,,,,,,,
