Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO1,BUILDING,BUILDING,384133.74N,0292346.18E,3296,15,NO INFO,,NO,,,,,,,,
LTBO2,BUILDING,BUILDING,384132.10N,0292345.44E,3296,15,NO INFO,,NO,,,,,,,,
LTBO3,BUILDING,BUILDING,384132.48N,0292346.17E,3296,15,NO INFO,,NO,,,,,,,,
LTBO4,BUILDING,BUILDING,384132.02N,0292346.59E,3305,25,NO INFO,,NO,,,,,,,,
LTBO5,BUILDING,BUILDING,384132.95N,0292346.56E,3296,15,NO INFO,,NO,,,,,,,,
LTBO6,BUILDING,BUILDING,384131.66N,0292345.84E,3305,25,NO INFO,,NO,,,,,,,,
LTBO7,BUILDING,BUILDING,384131.04N,0292343.46E,3305,25,NO INFO,,NO,,,,,,,,
LTBO8,BUILDING,BUILDING,384127.23N,0292347.49E,3284,25,NO INFO,,NO,,,,,,,,
LTBO9,BUILDING,BUILDING,384129.97N,0292352.31E,3286,25,NO INFO,,NO,,,,,,,,
LTBO10,BUILDING,BUILDING,384127.85N,0292351.27E,3283,34,NO INFO,,NO,,,,,,,,
LTBO11,BUILDING,BUILDING,384128.14N,0292356.53E,3237,15,NO INFO,,NO,,,,,,,,
LTBO12,BUILDING,BUILDING,384128.28N,0292357.29E,3242,25,NO INFO,,NO,,,,,,,,
LTBO13,BUILDING,BUILDING,384127.69N,0292357.80E,3220,15,NO INFO,,NO,,,,,,,,
LTBO14,BUILDING,BUILDING,384124.67N,0292349.34E,3267,25,NO INFO,,NO,,,,,,,,
LTBO15,BUILDING,BUILDING,384125.49N,0292348.76E,3272,25,NO INFO,,NO,,,,,,,,
LTBO16,BUILDING,BUILDING,384125.27N,0292348.36E,3277,25,NO INFO,,NO,,,,,,,,
LTBO17,BUILDING,BUILDING,384124.89N,0292348.54E,3266,15,NO INFO,,NO,,,,,,,,
LTBO18,BUILDING,BUILDING,384125.03N,0292345.05E,3309,44,NO INFO,,NO,,,,,,,,
LTBO19,BUILDING,BUILDING,384124.16N,0292345.08E,3287,25,NO INFO,,NO,,,,,,,,
LTBO20,BUILDING,BUILDING,384124.12N,0292344.69E,3284,25,NO INFO,,NO,,,,,,,,
LTBO21,BUILDING,BUILDING,384124.47N,0292344.49E,3286,25,NO INFO,,NO,,,,,,,,
LTBO22,BUILDING,BUILDING,384123.95N,0292344.01E,3299,44,NO INFO,,NO,,,,,,,,
LTBO23,BUILDING,BUILDING,384124.30N,0292343.92E,3270,15,NO INFO,,NO,,,,,,,,
LTBO24,BUILDING,BUILDING,384124.75N,0292343.74E,3272,15,NO INFO,,NO,,,,,,,,
LTBO25,BUILDING,BUILDING,384122.55N,0292345.17E,3264,15,NO INFO,,NO,,,,,,,,
LTBO26,BUILDING,BUILDING,384123.11N,0292345.09E,3268,15,NO INFO,,NO,,,,,,,,
LTBO27,BUILDING,BUILDING,384122.83N,0292346.33E,3277,25,NO INFO,,NO,,,,,,,,
LTBO28,BUILDING,BUILDING,384122.38N,0292346.18E,3304,54,NO INFO,,NO,,,,,,,,
LTBO29,BUILDING,BUILDING,384122.46N,0292346.70E,3265,15,NO INFO,,NO,,,,,,,,
LTBO30,BUILDING,BUILDING,384122.74N,0292347.36E,3265,15,NO INFO,,NO,,,,,,,,
LTBO31,BUILDING,BUILDING,384123.09N,0292348.38E,3272,25,NO INFO,,NO,,,,,,,,
LTBO32,BUILDING,BUILDING,384122.43N,0292348.35E,3267,25,NO INFO,,NO,,,,,,,,
LTBO33,BUILDING,BUILDING,384122.61N,0292348.66E,3268,25,NO INFO,,NO,,,,,,,,
LTBO34,BUILDING,BUILDING,384122.28N,0292347.83E,3270,25,NO INFO,,NO,,,,,,,,
LTBO35,BUILDING,BUILDING,384122.22N,0292347.45E,3271,25,NO INFO,,NO,,,,,,,,
LTBO36,BUILDING,BUILDING,384121.99N,0292346.55E,3261,15,NO INFO,,NO,,,,,,,,
LTBO37,BUILDING,BUILDING,384121.89N,0292346.91E,3261,15,NO INFO,,NO,,,,,,,,
LTBO38,BUILDING,BUILDING,384121.82N,0292346.08E,3260,15,NO INFO,,NO,,,,,,,,
LTBO39,BUILDING,BUILDING,384121.44N,0292346.48E,3267,25,NO INFO,,NO,,,,,,,,
LTBO40,BUILDING,BUILDING,384121.00N,0292346.15E,3263,25,NO INFO,,NO,,,,,,,,
