Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,
LTBQ1,ANTENNA,ANTENNA,404339.4N,0300500.8E,389,149,YES,RED,NO,,
LTBQ2,ANTENNA,ANTENNA,404345.3N,0300451.3E,385,149,YES,RED,NO,,
LTBQ3,ANTENNA,ANTENNA,404351.7N,0300445.5E,376,149,YES,RED,NO,,
LTBQ4,MAST,POLE,404353.7N,0300746.9E,337,49,NO,,NO,,
LTBQ5,MINARET,BUILDING,404407.0N,0300734.6E,424,133,NO,,NO,,
LTBQ6,MINARET,BUILDING,404409.9N,0300652.9E,335,135,NO,,NO,,
LTBQ37,SURVEILLANCE TOWER,TOWER,404405.1N,0300615.7E,228,20,NO,,NO,,
LTBQ38,SURVEILLANCE TOWER,TOWER,404410.3N,0300515.6E,239,20,NO,,NO,,
LTBQ40,TERRAIN,NATURAL_HIGHPOINT,404416.9N,0300350.7E,197,0,NO,,NO,,
LTBQ44,TERRAIN ,NATURAL_HIGHPOINT,404407.1N,0300537.0E,197,0,NO,,NO,,
LTBQ45,TERRAIN ,NATURAL_HIGHPOINT,404403.6N,0300536.3E,185,0,NO,,NO,,
LTBQ46,TERRAIN,NATURAL_HIGHPOINT,404356.7N,0300553.5E,188,0,NO,,NO,,
LTBQ49,TERRAIN,NATURAL_HIGHPOINT,404358.4N,0300558.2E,188,0,NO,,NO,,
LTBQ50,TERRAIN,NATURAL_HIGHPOINT,404358.3N,0300600.8E,183,0,NO,,NO,,
LTBQ52,TERRAIN,NATURAL_HIGHPOINT,404357.1N,0300558.1E,184,0,NO,,NO,,
LTBQ56,TERRAIN,NATURAL_HIGHPOINT,404406.1N,0300618.3E,210,0,NO,,NO,,
LTBQ58,MAST,POLE,404359.8N,0300508.8E,252,24,YES,RED,NO,,
LTBQ59,MAST,POLE,404359.9N,0300509.6E,249,24,NO,,NO,,
LTBQ60,MAST,POLE,404400.0N,0300510.5E,248,24,NO,,NO,,
LTBQ61,MAST,POLE,404400.0N,0300511.7E,248,24,NO,,NO,,
LTBQ62,MAST,POLE,404400.0N,0300513.2E,249,24,NO,,NO,,
LTBQ63,MAST,POLE,404359.9N,0300514.4E,249,24,YES,RED,NO,,
LTBQ64,MAST,POLE,404359.0N,0300514.2E,250,24,NO,,NO,,
LTBQ65,MAST,POLE,404358.1N,0300514.0E,253,24,NO,,NO,,
LTBQ66,MAST,POLE,404357.2N,0300513.8E,256,24,NO,,NO,,
LTBQ67,MAST,POLE,404356.2N,0300513.6E,260,24,NO,,NO,,
LTBQ68,MAST,POLE,404355.3N,0300513.5E,262,24,NO,,NO,,
LTBQ69,MAST,POLE,404354.7N,0300513.4E,264,24,YES,RED,NO,,
LTBQ70,MAST,POLE,404404.1N,0300353.1E,219,67,YES,RED,NO,,
LTBQ71,MAST,POLE,404352.2N,0300605.3E,244,67,YES,RED,NO,,
