Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCD1,BUILDING,BUILDING,394401.978N,0393317.670E,3923.6,14.76,NO INFO,,NO,,,,
LTCD2,BUILDING,BUILDING,394359.516N,0393316.302E,3918.6,14.76,NO INFO,,NO,,,,
LTCD3,BUILDING,BUILDING,394348.503N,0393300.409E,3909.9,24.60,NO INFO,,NO,,,,
LTCD4,BUILDING,BUILDING,394350.892N,0393241.830E,3909.7,24.60,NO INFO,,NO,,,,
LTCD5,BUILDING,BUILDING,394350.022N,0393241.064E,3908.2,24.60,NO INFO,,NO,,,,
LTCD6,BUILDING,BUILDING,394350.281N,0393236.427E,3909.8,24.60,NO INFO,,NO,,,,
LTCD7,BUILDING,BUILDING,394350.968N,0393236.206E,3911.1,24.60,NO INFO,,NO,,,,
LTCD8,BUILDING,BUILDING,394455.812N,0393245.067E,4055.8,14.76,NO INFO,,NO,,,,
LTCD9,BUILDING,BUILDING,394457.128N,0393245.396E,4060.1,14.76,NO INFO,,NO,,,,
LTCD10,BUILDING,BUILDING,394458.588N,0393245.745E,4066.3,14.76,NO INFO,,NO,,,,
LTCD11,BUILDING,BUILDING,394457.250N,0393244.029E,4063.5,14.76,NO INFO,,NO,,,,
LTCD12,BUILDING,BUILDING,394403.884N,0393217.678E,3928.2,14.76,NO INFO,,NO,,,,
LTCD13,BUILDING,BUILDING,394403.161N,0393217.233E,3925.3,14.76,NO INFO,,NO,,,,
LTCD14,BUILDING,BUILDING,394405.006N,0393217.494E,3940.2,24.60,NO INFO,,NO,,,,
LTCD15,BUILDING,BUILDING,394359.323N,0393214.531E,3917.7,14.76,NO INFO,,NO,,,,
LTCD16,BUILDING,BUILDING,394404.154N,0393216.481E,3927.9,14.76,NO INFO,,NO,,,,
LTCD17,BUILDING,BUILDING,394402.969N,0393215.633E,3925.6,14.76,NO INFO,,NO,,,,
