Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCJ1,BUILDING,BUILDING,375456.132N,0410956.841E,2284.84,44.29,NO INFO,,NO,
LTCJ2,BUILDING,BUILDING,375456.852N,0410955.969E,2291.94,44.29,NO INFO,,NO,
LTCJ3,BUILDING,BUILDING,375457.516N,0410955.243E,2292.77,44.29,NO INFO,,NO,
LTCJ4,BUILDING,BUILDING,375458.156N,0410954.528E,2288.02,44.29,NO INFO,,NO,
LTCJ5,BUILDING,BUILDING,375458.795N,0410953.761E,2275.26,44.29,NO INFO,,NO,
LTCJ6,BUILDING,BUILDING,375457.976N,0410952.440E,2254.02,44.29,NO INFO,,NO,
LTCJ7,BUILDING,BUILDING,375459.847N,0410954.735E,2292.40,44.29,NO INFO,,NO,
LTCJ8,BUILDING,BUILDING,375459.160N,0410955.576E,2307.57,44.29,NO INFO,,NO,
LTCJ9,BUILDING,BUILDING,375457.848N,0410957.090E,2313.07,44.29,NO INFO,,NO,
LTCJ10,BUILDING,BUILDING,375457.153N,0410958.003E,2305.07,44.29,NO INFO,,NO,
LTCJ11,BUILDING,BUILDING,375457.979N,0410959.251E,2325.61,44.29,NO INFO,,NO,
LTCJ12,BUILDING,BUILDING,375458.634N,0410958.391E,2331.56,44.29,NO INFO,,NO,
LTCJ13,BUILDING,BUILDING,375459.945N,0410956.825E,2313.93,44.29,NO INFO,,NO,
LTCJ14,BUILDING,BUILDING,375500.592N,0410956.089E,2308.07,44.29,NO INFO,,NO,
LTCJ15,BUILDING,BUILDING,375501.630N,0410957.209E,2325.12,44.29,NO INFO,,NO,
LTCJ16,BUILDING,BUILDING,375500.917N,0410957.956E,2328.99,44.29,NO INFO,,NO,
LTCJ17,BUILDING,BUILDING,375500.294N,0410958.733E,2340.88,44.29,NO INFO,,NO,
LTCJ18,BUILDING,BUILDING,375459.664N,0410959.583E,2344.05,44.29,NO INFO,,NO,
LTCJ19,BUILDING,BUILDING,375458.918N,0411000.363E,2344.84,44.29,NO INFO,,NO,
LTCJ20,BUILDING,BUILDING,375500.409N,0411000.885E,2352.80,44.29,NO INFO,,NO,
LTCJ21,BUILDING,BUILDING,375501.121N,0411000.085E,2346.67,44.29,NO INFO,,NO,
LTCJ22,BUILDING,BUILDING,375501.826N,0410959.306E,2340.88,44.29,NO INFO,,NO,
LTCJ23,BUILDING,BUILDING,375502.351N,0410958.572E,2341.40,44.29,NO INFO,,NO,
LTCJ24,BUILDING,BUILDING,375503.650N,0410957.462E,2359.55,54.13,NO INFO,,NO,
LTCJ25,BUILDING,BUILDING,375505.958N,0411001.432E,2367.13,54.13,NO INFO,,NO,
LTCJ26,BUILDING,BUILDING,375506.052N,0410959.962E,2368.34,54.13,NO INFO,,NO,
