Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group
LTCL1,BUILDING,BUILDING,375939.825N,0415324.696E,2682,25,NO,,NO
LTCL2,BUILDING,BUILDING,375941.014N,0415327.671E,2707,25,NO,,NO
LTCL3,BUILDING,BUILDING,375939.783N,0415325.378E,2692,34,NO,,NO
LTCL4,BUILDING,BUILDING,375939.215N,0415326.147E,2695,34,NO,,NO
LTCL5,BUILDING,BUILDING,375940.048N,0415326.809E,2716,44,NO,,NO
LTCL6,BUILDING,BUILDING,375939.753N,0415323.804E,2691,44,NO,,NO
LTCL7,BUILDING,BUILDING,375941.995N,0415327.547E,2720,44,NO,,NO
LTCL8,BUILDING,BUILDING,375941.750N,0415327.407E,2723,44,NO,,NO
LTCL9,BUILDING,BUILDING,375941.636N,0415328.530E,2732,44,NO,,NO
LTCL10,BUILDING,BUILDING,375943.457N,0415329.535E,2716,44,NO,,NO
LTCL11,BUILDING,BUILDING,375942.804N,0415327.828E,2721,54,NO,,NO
LTCL12,BUILDING,BUILDING,375942.717N,0415326.469E,2718,54,NO,,NO
LTCL13,BUILDING,BUILDING,375941.099N,0415325.972E,2713,44,NO,,NO
LTCL14,BUILDING,BUILDING,375940.739N,0415324.884E,2705,44,NO,,NO
LTCL15,BUILDING,BUILDING,375938.748N,0415325.597E,2671,15,NO,,NO
LTCL16,BUILDING,BUILDING,375941.510N,0415325.977E,2683,15,NO,,NO
LTCL17,BUILDING,BUILDING,375942.408N,0415326.479E,2701,34,NO,,NO
LTCL18,BUILDING,BUILDING,375942.475N,0415326.178E,2698,34,NO,,NO
LTCL19,BUILDING,BUILDING,375942.282N,0415328.100E,2720,44,NO,,NO
LTCL20,BUILDING,BUILDING,375942.224N,0415328.369E,2723,44,NO,,NO
LTCL21,BUILDING,BUILDING,375945.909N,0415331.030E,2688,15,NO,,NO
LTCL22,BUILDING,BUILDING,375942.345N,0415330.424E,2717,15,NO,,NO
LTCL23,BUILDING,BUILDING,375940.426N,0415327.590E,2725,44,NO,,NO
LTCL24,BUILDING,BUILDING,375940.252N,0415325.872E,2700,34,NO,,NO
LTCL25,BUILDING,BUILDING,375939.504N,0415324.665E,2682,25,NO,,NO
LTCL26,BUILDING,BUILDING,375713.949N,0415226.172E,2410,15,NO,,NO
LTCL27,BUILDING,BUILDING,375713.578N,0415228.190E,2417,15,NO,,NO
LTCL28,BUILDING,BUILDING,375713.103N,0415230.269E,2426,15,NO,,NO
LTCL29,BUILDING,BUILDING,375711.010N,0415229.504E,2427,15,NO,,NO
LTCL30,BUILDING,BUILDING,375711.372N,0415227.324E,2411,15,NO,,NO
LTCL31,BUILDING,BUILDING,375711.574N,0415225.381E,2397,15,NO,,NO
LTCL32,BUILDING,BUILDING,375710.671N,0415231.784E,2433,15,NO,,NO
LTCL33,BUILDING,BUILDING,375712.426N,0415232.145E,2434,15,NO,,NO
LTCL34,BUILDING,BUILDING,375712.270N,0415231.683E,2433,15,NO,,NO
LTCL35,BUILDING,BUILDING,375712.434N,0415234.437E,2440,15,NO,,NO
LTCL36,BUILDING,BUILDING,375710.275N,0415233.768E,2438,15,NO,,NO
LTCL37,BUILDING,BUILDING,375709.568N,0415228.993E,2424,15,NO,,NO
LTCL38,BUILDING,BUILDING,375709.181N,0415231.140E,2430,15,NO,,NO
LTCL39,BUILDING,BUILDING,375708.133N,0415225.035E,2399,15,NO,,NO
LTCL40,BUILDING,BUILDING,375707.183N,0415224.901E,2396,15,NO,,NO
LTCL41,BUILDING,BUILDING,375705.755N,0415225.398E,2395,15,NO,,NO
LTCL42,BUILDING,BUILDING,375705.314N,0415225.023E,2392,15,NO,,NO
LTCL43,BUILDING,BUILDING,375706.995N,0415228.909E,2409,15,NO,,NO
