Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group,
LTCM1,BUILDING,BUILDING,420024.737N,0350504.351E,340,44,NO,,NO,
LTCM2,BUILDING,BUILDING,420025.996N,0350510.154E,345,34,NO,,NO,
LTCM3,BUILDING,BUILDING,420029.440N,0350502.357E,310,34,NO,,NO,
LTCM4,BUILDING,BUILDING,420020.649N,0350459.504E,318,44,NO,,NO,
LTCM5,BUILDING,BUILDING,420020.439N,0350458.833E,324,54,NO,,NO,
LTCM6,BUILDING,BUILDING,420021.038N,0350501.112E,317,34,NO,,NO,
LTCM7,BUILDING,BUILDING,420021.506N,0350502.748E,337,44,NO,,NO,
LTCM8,BUILDING,BUILDING,420019.122N,0350503.264E,314,34,NO,,NO,
LTCM9,BUILDING,BUILDING,420020.086N,0350456.333E,304,44,NO,,NO,
LTCM10,BUILDING,BUILDING,420017.068N,0350457.497E,288,34,NO,,NO,
LTCM11,BUILDING,BUILDING,420017.560N,0350456.475E,291,34,NO,,NO,
LTCM12,BUILDING,BUILDING,420017.372N,0350456.104E,289,34,NO,,NO,
LTCM13,BUILDING,BUILDING,420016.237N,0350502.260E,283,34,NO,,NO,
LTCM14,BUILDING,BUILDING,420018.033N,0350504.362E,306,34,NO,,NO,
LTCM15,BUILDING,BUILDING,420020.011N,0350505.576E,334,44,NO,,NO,
LTCM16,BUILDING,BUILDING,420020.168N,0350505.078E,335,44,NO,,NO,
LTCM17,BUILDING,BUILDING,420020.059N,0350506.129E,334,44,NO,,NO,
LTCM18,BUILDING,BUILDING,420019.964N,0350507.293E,325,34,NO,,NO,
LTCM19,BUILDING,BUILDING,420023.104N,0350513.378E,363,34,NO,,NO,
LTCM20,BUILDING,BUILDING,420023.113N,0350514.120E,363,34,NO,,NO,
LTCM21,BUILDING,BUILDING,420023.111N,0350519.026E,408,64,NO,,NO,
LTCM22,BUILDING,BUILDING,420023.644N,0350519.849E,407,64,NO,,NO,
LTCM23,BUILDING,BUILDING,420023.668N,0350518.819E,404,64,NO,,NO,
LTCM24,BUILDING,BUILDING,420023.775N,0350521.220E,408,64,NO,,NO,
LTCM25,BUILDING,BUILDING,420023.111N,0350521.726E,408,64,NO,,NO,
LTCM26,BUILDING,BUILDING,420021.079N,0350521.635E,399,54,NO,,NO,
LTCM27,BUILDING,BUILDING,420021.421N,0350523.418E,379,34,NO,,NO,
LTCM28,BUILDING,BUILDING,420021.363N,0350525.725E,399,54,NO,,NO,
LTCM29,BUILDING,BUILDING,420024.854N,0350528.528E,380,54,NO,,NO,
LTCM30,BUILDING,BUILDING,420024.929N,0350528.925E,379,54,NO,,NO,
LTCM31,BUILDING,BUILDING,420024.276N,0350528.928E,367,34,NO,,NO,
LTCM32,BUILDING,BUILDING,420023.765N,0350529.219E,372,34,NO,,NO,
LTCM33,BUILDING,BUILDING,420023.414N,0350529.481E,373,34,NO,,NO,
LTCM34,BUILDING,BUILDING,420024.085N,0350529.888E,368,34,NO,,NO,
LTCM35,BUILDING,BUILDING,420025.052N,0350530.775E,373,44,NO,,NO,
LTCM36,BUILDING,BUILDING,420025.239N,0350531.318E,371,44,NO,,NO,
LTCM37,BUILDING,BUILDING,420025.446N,0350532.827E,372,44,NO,,NO,
LTCM38,BUILDING,BUILDING,420021.928N,0350530.992E,370,34,NO,,NO,
LTCM39,BUILDING,BUILDING,420014.683N,0350519.649E,308,34,NO,,NO,
LTCM40,BUILDING,BUILDING,420014.870N,0350521.820E,315,34,NO,,NO,
LTCM41,BUILDING,BUILDING,420024.530N,0350538.745E,345,34,NO,,NO,
LTCM42,BUILDING,BUILDING,420025.880N,0350537.218E,363,34,NO,,NO,
LTCM43,BUILDING,BUILDING,420028.359N,0350538.386E,348,34,NO,,NO,
LTCM44,BUILDING,BUILDING,420029.404N,0350546.256E,340,44,NO,,NO,
LTCM45,BUILDING,BUILDING,420030.115N,0350544.730E,343,44,NO,,NO,
LTCM46,BUILDING,BUILDING,420031.125N,0350545.255E,326,34,NO,,NO,
LTCM47,BUILDING,BUILDING,420008.389N,0350453.011E,220,34,NO,,NO,
LTCM48,BUILDING,BUILDING,420015.688N,0350455.005E,292,44,NO,,NO,
LTCM49,BUILDING,BUILDING,420016.377N,0350453.795E,303,54,NO,,NO,
LTCM50,BUILDING,BUILDING,420015.599N,0350452.818E,281,34,NO,,NO,
LTCM51,BUILDING,BUILDING,420015.454N,0350452.273E,280,34,NO,,NO,
LTCM52,BUILDING,BUILDING,420014.844N,0350451.383E,276,34,NO,,NO,
LTCM53,BUILDING,BUILDING,420012.859N,0350446.063E,264,34,NO,,NO,
LTCM54,BUILDING,BUILDING,420012.259N,0350444.910E,264,34,NO,,NO,
LTCM55,BUILDING,BUILDING,420011.512N,0350443.926E,264,34,NO,,NO,
LTCM56,BUILDING,BUILDING,420010.231N,0350445.148E,264,44,NO,,NO,
LTCM57,BUILDING,BUILDING,420011.196N,0350442.884E,264,34,NO,,NO,
LTCM58,BUILDING,BUILDING,420010.896N,0350442.307E,274,44,NO,,NO,
LTCM59,BUILDING,BUILDING,420010.616N,0350441.643E,264,34,NO,,NO,
LTCM60,BUILDING,BUILDING,420010.220N,0350440.954E,264,34,NO,,NO,
LTCM61,BUILDING,BUILDING,420009.764N,0350440.095E,264,34,NO,,NO,
LTCM62,BUILDING,BUILDING,420009.520N,0350439.372E,274,44,NO,,NO,
LTCM63,BUILDING,BUILDING,420008.737N,0350437.481E,264,34,NO,,NO,
LTCM64,BUILDING,BUILDING,420006.559N,0350435.110E,264,34,NO,,NO,
LTCM65,BUILDING,BUILDING,420009.920N,0350433.807E,267,44,NO,,NO,
LTCM66,BUILDING,BUILDING,420010.361N,0350432.958E,250,34,NO,,NO,
LTCM67,BUILDING,BUILDING,420010.926N,0350433.363E,249,34,NO,,NO,
LTCM68,BUILDING,BUILDING,420010.874N,0350434.701E,257,34,NO,,NO,
LTCM69,BUILDING,BUILDING,420010.644N,0350434.469E,258,34,NO,,NO,
LTCM70,BUILDING,BUILDING,420010.115N,0350435.314E,264,34,NO,,NO,
LTCM71,BUILDING,BUILDING,420010.277N,0350437.819E,264,34,NO,,NO,
LTCM72,BUILDING,BUILDING,420010.723N,0350438.412E,264,34,NO,,NO,
LTCM73,BUILDING,BUILDING,420014.497N,0350443.777E,284,54,NO,,NO,
LTCM74,BUILDING,BUILDING,420015.189N,0350439.210E,270,74,NO,,NO,
LTCM75,BUILDING,BUILDING,420016.290N,0350439.155E,240,54,NO,,NO,
LTCM76,BUILDING,BUILDING,420017.399N,0350439.023E,209,34,NO,,NO,
LTCM77,BUILDING,BUILDING,420021.119N,0350440.146E,209,44,NO,,NO,
LTCM78,BUILDING,BUILDING,420027.669N,0350557.911E,366,34,NO,,NO,
LTCM79,BUILDING,BUILDING,420028.711N,0350600.509E,409,44,NO,,NO,
LTCM80,BUILDING,BUILDING,420029.118N,0350559.909E,395,34,NO,,NO,
LTCM81,BUILDING,BUILDING,420030.707N,0350601.694E,402,34,NO,,NO,
LTCM82,BUILDING,BUILDING,420031.123N,0350602.887E,407,34,NO,,NO,
LTCM83,BUILDING,BUILDING,420031.689N,0350603.882E,411,34,NO,,NO,
LTCM84,BUILDING,BUILDING,420032.626N,0350605.620E,412,34,NO,,NO,
LTCM85,BUILDING,BUILDING,420034.203N,0350608.824E,431,34,NO,,NO,
LTCM86,BUILDING,BUILDING,420032.944N,0350611.352E,461,34,NO,,NO,
LTCM87,BUILDING,BUILDING,420029.929N,0350606.707E,447,34,NO,,NO,
LTCM88,BUILDING,BUILDING,420028.826N,0350605.034E,436,34,NO,,NO,
LTCM89,BUILDING,BUILDING,420028.398N,0350604.791E,434,34,NO,,NO,
LTCM90,BUILDING,BUILDING,420027.697N,0350604.521E,430,34,NO,,NO,
LTCM91,BUILDING,BUILDING,420028.156N,0350603.549E,432,44,NO,,NO,
