Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCN1,MAST,POLE,373241.26N,0365813.36E,1794.72,45.37,NO INFO,,NO
LTCN2,MAST,POLE,373240.86N,0365812.41E,1789.68,28.35,NO INFO,,NO
LTCN3,BUILDING,BUILDING,373239.91N,0365811.71E,1777.70,34.81,NO INFO,,NO
LTCN4,MAST,POLE,373238.76N,0365815.19E,1792.07,41.86,NO INFO,,NO
LTCN5,MAST,POLE,373239.44N,0365815.66E,1797.32,44.88,NO INFO,,NO
LTCN6,MAST,POLE,373240.14N,0365816.80E,1789.80,44.19,NO INFO,,NO
LTCN7,BUILDING,BUILDING,373240.14N,0365817.20E,1773.86,21.85,NO INFO,,NO
LTCN8,MAST,POLE,373238.58N,0365816.77E,1798.40,45.47,NO INFO,,NO
LTCN9,MAST,POLE,373235.30N,0365819.65E,1772.85,19.26,NO INFO,,NO
LTCN10,BUILDING,BUILDING,373234.09N,0365819.52E,1767.04,12.80,NO INFO,,NO
LTCN11,BUILDING,BUILDING,373235.29N,0365807.03E,1740.45,5.90,NO INFO,,NO
LTCN12,BUILDING,BUILDING,373234.93N,0365806.13E,1742.85,9.58,NO INFO,,NO
LTCN13,BUILDING,BUILDING,373237.00N,0365805.05E,1751.93,20.93,NO INFO,,NO
LTCN14,BUILDING,BUILDING,373237.61N,0365805.07E,1751.33,21.21,NO INFO,,NO
LTCN15,BUILDING,BUILDING,373236.85N,0365803.72E,1740.82,11.39,NO INFO,,NO
LTCN16,BUILDING,BUILDING,373235.91N,0365802.66E,1740.92,13.00,NO INFO,,NO
LTCN17,BUILDING,BUILDING,373236.02N,0365801.85E,1739.17,12.37,NO INFO,,NO
LTCN18,BUILDING,BUILDING,373236.42N,0365801.81E,1746.88,20.34,NO INFO,,NO
LTCN19,SILO,BUILDING,373223.00N,0365822.37E,1842.59,90.16,NO INFO,,NO
LTCN20,MAST,POLE,373230.06N,0365829.92E,1803.84,42.65,NO INFO,,NO
LTCN21,MAST,POLE,373227.68N,0365832.32E,1808.93,42.66,NO INFO,,NO
LTCN22,MAST,POLE,373226.33N,0365831.30E,1804.56,38.19,NO INFO,,NO
LTCN23,MAST,POLE,373233.71N,0365811.94E,1748.12,8.75,NO INFO,,NO
LTCN24,MAST,POLE,373234.04N,0365810.81E,1745.89,8.56,NO INFO,,NO
LTCN25,MAST,POLE,373234.38N,0365809.67E,1744.52,8.50,NO INFO,,NO
LTCN26,MAST,POLE,373234.38N,0365808.45E,1743.06,7.86,NO INFO,,NO
LTCN27,MAST,POLE,373234.16N,0365807.28E,1742.65,8.20,NO INFO,,NO
LTCN28,MAST,POLE,373233.93N,0365806.09E,1742.20,8.60,NO INFO,,NO
LTCN29,MAST,POLE,373233.70N,0365804.90E,1741.24,8.14,NO INFO,,NO
LTCN30,MAST,POLE,373233.48N,0365803.72E,1739.97,7.59,NO INFO,,NO
LTCN31,MAST,POLE,373233.25N,0365802.53E,1740.97,8.82,NO INFO,,NO
LTCN32,MAST,POLE,373234.03N,0365802.28E,1736.39,9.09,YES,RED,NO
LTCN33,MAST,POLE,373234.88N,0365802.12E,1759.95,33.80,NO INFO,,NO
LTCN34,SURVEILLANCE TWR,TOWER,373234.77N,0365801.59E,1750.42,23.16,YES,RED,NO
LTCN35,MAST,POLE,373234.73N,0365800.55E,1728.73,3.40,NO INFO,,NO
LTCN36,MAST,POLE,373234.49N,0365759.38E,1727.82,3.38,NO INFO,,NO
LTCN37,MAST,POLE,373234.24N,0365758.20E,1755.82,34.10,NO INFO,,NO
LTCN38,MAST,POLE,373233.99N,0365757.02E,1753.60,34.05,YES,RED,NO
LTCN39,MAST,POLE,373233.74N,0365755.83E,1752.05,33.71,NO INFO,,NO
LTCN40,MAST,POLE,373233.49N,0365754.65E,1751.20,34.01,NO INFO,,NO
LTCN41,MAST,POLE,373233.24N,0365753.47E,1749.90,34.02,NO INFO,,NO
LTCN42,MAST,POLE,373232.99N,0365752.29E,1748.60,33.84,NO INFO,,NO
LTCN43,MAST,POLE,373232.74N,0365751.11E,1748.53,34.95,YES,RED,NO
LTCN44,MAST,POLE,373232.48N,0365749.93E,1745.56,33.62,NO INFO,,NO
LTCN45,MAST,POLE,373232.24N,0365748.75E,1744.96,33.84,NO INFO,,NO
LTCN46,MAST,POLE,373231.98N,0365747.57E,1743.65,33.81,NO INFO,,NO
LTCN47,SURVEILLANCE TWR,TOWER,373231.72N,0365746.99E,1733.73,23.43,YES,RED,NO
LTCN48,MAST,POLE,373231.73N,0365746.36E,1742.91,33.92,NO INFO,,NO
LTCN49,MAST,POLE,373231.48N,0365745.18E,1740.13,33.37,NO INFO,,NO
LTCN50,MAST,POLE,373231.23N,0365744.00E,1739.63,34.25,NO INFO,,NO
LTCN51,MAST,POLE,373230.97N,0365742.82E,1738.48,33.93,NO INFO,,NO
LTCN52,MAST,POLE,373230.72N,0365741.63E,1736.66,33.41,YES,RED,NO
LTCN53,MAST,POLE,373230.47N,0365740.45E,1736.75,34.15,NO INFO,,NO
LTCN54,MAST,POLE,373230.22N,0365739.27E,1736.31,34.54,NO INFO,,NO
LTCN55,MAST,POLE,373229.97N,0365738.09E,1735.46,34.51,NO INFO,,NO
LTCN56,MAST,POLE,373229.72N,0365736.91E,1733.99,34.51,NO INFO,,NO
LTCN57,MAST,POLE,373229.46N,0365735.73E,1732.19,33.70,YES,RED,NO
LTCN58,MAST,POLE,373229.22N,0365734.55E,1730.71,33.30,NO INFO,,NO
LTCN59,MAST,POLE,373228.97N,0365733.37E,1729.84,33.42,NO INFO,,NO
LTCN60,MAST,POLE,373228.72N,0365732.19E,1729.85,33.85,NO INFO,,NO
LTCN61,SURVEILLANCE TWR,TOWER,373228.46N,0365731.66E,1686.95,23.66,YES,RED,NO
LTCN62,MAST,POLE,373228.46N,0365731.01E,1729.39,33.89,NO INFO,,NO
LTCN63,MAST,POLE,373228.21N,0365729.83E,1727.84,34.20,NO INFO,,NO
LTCN64,MAST,POLE,373227.96N,0365728.65E,1726.13,34.01,NO INFO,,NO
LTCN65,MAST,POLE,373227.71N,0365727.47E,1724.23,33.42,NO INFO,,NO
LTCN66,MAST,POLE,373227.46N,0365726.29E,1722.29,33.65,YES,RED,NO
LTCN67,MAST,POLE,373227.21N,0365725.11E,1720.56,34.18,NO INFO,,NO
LTCN68,MAST,POLE,373226.96N,0365723.94E,1717.27,34.49,NO INFO,,NO
LTCN69,MAST,POLE,373226.71N,0365722.75E,1716.43,34.68,NO INFO,,NO
LTCN70,SURVEILLANCE TWR,TOWER,373226.46N,0365722.18E,1705.54,22.87,YES,RED,NO
LTCN71,MAST,POLE,373226.46N,0365721.57E,1715.88,34.65,NO INFO,,NO
LTCN72,MAST,POLE,373226.21N,0365720.39E,1714.94,34.20,NO INFO,,NO
LTCN73,MAST,POLE,373225.95N,0365719.21E,1713.71,34.15,NO INFO,,NO
LTCN74,MAST,POLE,373225.70N,0365718.03E,1711.34,33.65,NO INFO,,NO
LTCN75,MAST,POLE,373225.45N,0365716.85E,1709.74,33.89,NO INFO,,NO
LTCN76,MAST,POLE,373225.20N,0365715.67E,1707.08,34.25,NO INFO,,NO
LTCN77,MAST,POLE,373224.97N,0365714.53E,1681.89,8.17,NO INFO,,NO
LTCN78,VOR STATION,NAVAID,373224.38N,0365710.56E,1688.85,21.82,YES,RED,NO
LTCN79,ANTENNA,ANTENNA,373224.17N,0365710.20E,1716.30,47.08,YES,RED,NO
LTCN80,MAST,POLE,373223.21N,0365706.38E,1674.64,8.76,NO INFO,,NO
LTCN81,MAST,POLE,373222.94N,0365705.10E,1692.61,33.79,NO INFO,,NO
LTCN82,MAST,POLE,373222.69N,0365703.92E,1690.17,33.58,NO INFO,,NO
LTCN83,MAST,POLE,373222.44N,0365702.74E,1687.82,33.65,NO INFO,,NO
LTCN84,MAST,POLE,373222.19N,0365701.56E,1685.83,33.30,NO INFO,,NO
LTCN85,MAST,POLE,373221.94N,0365700.37E,1683.78,33.45,NO INFO,,NO
LTCN86,MAST,POLE,373221.69N,0365659.19E,1682.26,33.80,NO INFO,,NO
LTCN87,SURVEILLANCE TWR ,TOWER,373221.43N,0365658.60E,1672.60,23.10,YES,RED,NO
LTCN88,MAST,POLE,373221.44N,0365658.01E,1680.83,33.85,NO INFO,,NO
LTCN89,MAST,POLE,373221.19N,0365656.83E,1680.25,34.25,NO INFO,,NO
LTCN90,MAST,POLE,373220.94N,0365655.65E,1679.06,34.15,NO INFO,,NO
LTCN91,MAST,POLE,373220.69N,0365654.47E,1678.34,34.25,NO INFO,,NO
LTCN92,MAST,POLE,373220.44N,0365653.29E,1678.25,34.24,YES,RED,NO
LTCN93,MAST,POLE,373220.19N,0365652.11E,1676.19,33.90,NO INFO,,NO
LTCN94,MAST,POLE,373219.94N,0365650.93E,1674.82,33.88,NO INFO,,NO
LTCN95,MAST,POLE,373219.69N,0365649.75E,1673.81,33.80,NO INFO,,NO
LTCN96,MAST,POLE,373219.44N,0365648.57E,1672.96,33.92,NO INFO,,NO
LTCN97,MAST,POLE,373219.19N,0365647.39E,1672.14,33.92,NO INFO,,NO
LTCN98,MAST,POLE,373218.94N,0365646.20E,1671.18,34.08,NO INFO,,NO
LTCN99,SURVEILLANCE TWR,TOWER,373218.71N,0365645.66E,1660.46,23.65,NO INFO,,NO
LTCN100,MAST,POLE,373218.69N,0365645.02E,1668.66,33.65,NO INFO,,NO
LTCN101,MAST,POLE,373218.44N,0365643.84E,1668.07,34.18,NO INFO,,NO
LTCN102,MAST,POLE,373218.19N,0365642.66E,1666.89,34.25,NO INFO,,NO
LTCN103,MAST,POLE,373217.94N,0365641.48E,1665.58,34.31,NO INFO,,NO
LTCN104,MAST,POLE,373217.69N,0365640.30E,1664.51,34.75,YES,RED,NO
LTCN105,MAST,POLE,373217.44N,0365639.12E,1662.92,34.18,NO INFO,,NO
LTCN106,MAST,POLE,373217.19N,0365637.94E,1661.41,34.12,NO INFO,,NO
LTCN107,MAST,POLE,373216.94N,0365636.76E,1659.92,34.04,NO INFO,,NO
LTCN108,MAST,POLE,373216.69N,0365635.58E,1658.50,33.76,NO INFO,,NO
LTCN109,MAST,POLE,373216.44N,0365634.40E,1656.48,33.19,NO INFO,,NO
LTCN110,SURVEILLANCE TWR ,TOWER,373216.20N,0365633.84E,1645.63,22.97,YES,RED,NO
LTCN111,MAST,POLE,373216.19N,0365633.22E,1655.74,33.86,NO INFO,,NO
LTCN112,MAST,POLE,373215.94N,0365632.03E,1653.70,33.65,NO INFO,,NO
LTCN113,MAST,POLE,373215.69N,0365630.85E,1653.07,33.45,NO INFO,,NO
LTCN114,MAST,POLE,373215.44N,0365629.67E,1651.57,33.43,NO INFO,,NO
