Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCR_1,TOWER,TOWER,371357.362N,0403813.853E,1834.34,108.20,YES,RED,NO
LTCR_2,MAST,POLE,371354.300N,0403814.900E,1755.26,32.80,YES,RED,NO
LTCR_3,NDB ANTENNA,ANTENNA,371339.900N,0403819.100E,1758.85,51.30,YES,RED,NO
LTCR_4,VOR ANTENNA,ANTENNA,371339.642N,0403818.601E,1730.15,20.85,NO INFO,,NO
LTCR_5,LIGHTING MAST,POLE,371320.717N,0403758.520E,1721.12,32.80,NO INFO,,NO
LTCR_6,LIGHTING MAST,POLE,371321.489N,0403759.249E,1722.38,32.80,NO INFO,,NO
LTCR_7,LIGHTING MAST,POLE,371322.267N,0403759.984E,1722.41,32.80,NO INFO,,NO
LTCR_8,LIGHTING MAST,POLE,371322.662N,0403800.361E,1722.41,32.80,NO INFO,,NO
LTCR_9,LIGHTING MAST,POLE,371323.063N,0403800.729E,1722.41,32.80,NO INFO,,NO
LTCR_10,LIGHTING MAST,POLE,371323.812N,0403801.415E,1722.41,32.80,NO INFO,,NO
LTCR_11,LIGHTING MAST,POLE,371324.581N,0403802.148E,1722.41,32.80,NO INFO,,NO
LTCR_12,LIGHTING MAST,POLE,371325.378N,0403802.938E,1723.31,32.80,NO INFO,,NO
LTCR_13,LIGHTING MAST,POLE,371319.174N,0403757.041E,1718.46,32.80,NO INFO,,NO
LTCR_14,LIGHTING MAST,POLE,371319.952N,0403757.783E,1719.80,32.80,NO INFO,,NO
LTCR_15,LIGHTING MAST,POLE,371315.313N,0403753.352E,1711.81,32.80,NO INFO,,NO
LTCR_16,LIGHTING MAST,POLE,371316.078N,0403754.081E,1713.13,32.80,NO INFO,,NO
LTCR_17,LIGHTING MAST,POLE,371316.840N,0403754.829E,1714.45,32.80,NO INFO,,NO
LTCR_18,LIGHTING MAST,POLE,371317.600N,0403755.554E,1715.76,32.80,NO INFO,,NO
LTCR_19,LIGHTING MAST,POLE,371318.382N,0403756.286E,1717.10,32.80,NO INFO,,NO
LTCR_20,MAST,POLE,371311.800N,0403734.300E,1702.57,32.80,YES,RED,NO
LTCR_21,LIGHTING MAST,POLE,371310.675N,0403748.950E,1706.24,32.80,NO INFO,,NO
LTCR_22,LIGHTING MAST,POLE,371311.414N,0403749.675E,1706.92,32.80,NO INFO,,NO
LTCR_23,LIGHTING MAST,POLE,371312.195N,0403750.413E,1707.63,32.80,NO INFO,,NO
LTCR_24,LIGHTING MAST,POLE,371312.972N,0403751.126E,1708.33,32.80,NO INFO,,NO
LTCR_25,LIGHTING MAST,POLE,371313.782N,0403751.877E,1709.17,32.80,NO INFO,,NO
LTCR_26,LIGHTING MAST,POLE,371314.561N,0403752.627E,1710.51,32.80,NO INFO,,NO
LTCR_27,LIGHTING MAST,POLE,371314.928N,0403752.991E,1711.15,32.80,NO INFO,,NO
LTCR_28,LIGHTING MAST,POLE,371309.143N,0403747.488E,1704.60,32.80,NO INFO,,NO
LTCR_29,LIGHTING MAST,POLE,371309.908N,0403748.217E,1705.48,32.80,NO INFO,,NO
LTCR_30,LIGHTING MAST,POLE,371310.299N,0403748.584E,1705.90,32.80,NO INFO,,NO
LTCR_31,LIGHTING MAST,POLE,371304.474N,0403743.014E,1698.42,32.80,NO INFO,,NO
LTCR_32,LIGHTING MAST,POLE,371305.225N,0403743.730E,1699.41,32.80,NO INFO,,NO
LTCR_33,LIGHTING MAST,POLE,371305.985N,0403744.483E,1700.48,32.80,NO INFO,,NO
LTCR_34,LIGHTING MAST,POLE,371306.773N,0403745.235E,1701.58,32.80,NO INFO,,NO
