Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_1,LLZ ANTENNA,ANTENNA,375201.297N,0302259.550E,2860.49,16.40,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_2,LLZ CONTAINER,BUILDING,375201.395N,0302259.749E,2853.98,9.84,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_3,COTTAGE,BUILDING,375042.769N,0302119.769E,2842.25,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_4,ANEMOMETER,GENERAL_UTILITY,375056.264N,0302135.052E,2852.01,29.52,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_5,ANEMOMETER,GENERAL_UTILITY,375054.739N,0302132.739E,2851.78,29.94,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_6,RVR MAST,POLE,375057.439N,0302135.560E,2829.79,6.56,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_7,RVR MAST,POLE,375054.712N,0302131.549E,2828.79,6.56,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_8,ANEMOMETER,GENERAL_UTILITY,375144.616N,0302249.945E,2848.86,22.54,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_9,RVR MAST,POLE,375146.877N,0302249.924E,2838.57,6.56,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_10,RVR MAST,POLE,375145.158N,0302247.500E,2838.75,6.56,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_11,COTTAGE,BUILDING,375151.281N,0302301.719E,2853.85,26.25,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_12,WIND SOCK,OTHER,375124.764N,0302202.433E,2847.32,15.35,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_13,COTTAGE,BUILDING,375145.474N,0302228.985E,2858.62,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_14,COTTAGE,BUILDING,375200.700N,0302251.496E,2870.50,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_15,COTTAGE,BUILDING,375153.283N,0302240.467E,2870.62,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_16,COTTAGE,BUILDING,375109.112N,0302135.087E,2850.53,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_17,COTTAGE,BUILDING,375100.719N,0302122.651E,2855.48,22.97,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_18,MOSQUE,BUILDING,375229.514N,0301857.543E,3094.49,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_19,MINARET,BUILDING,375230.000N,0301857.089E,3143.64,83.66,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_20,BUILDING,BUILDING,375221.231N,0301846.453E,3102.00,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_21,BUILDING,BUILDING,375220.854N,0301846.217E,3102.00,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_22,BUILDING,BUILDING,375222.777N,0301846.367E,3101.97,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_23,BUILDING,BUILDING,375228.778N,0301852.930E,3096.04,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_24,BUILDING,BUILDING,375227.755N,0301854.415E,3086.86,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_25,BUILDING,BUILDING,375228.083N,0301854.673E,3086.53,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_26,BUILDING,BUILDING,375227.080N,0301855.284E,3087.29,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_27,BUILDING,BUILDING,375225.065N,0301854.779E,3088.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_28,BUILDING,BUILDING,375225.438N,0301854.985E,3078.73,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_29,BUILDING,BUILDING,375225.966N,0301855.080E,3078.29,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_30,BUILDING,BUILDING,375226.629N,0301855.298E,3087.66,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_31,BUILDING,BUILDING,375226.793N,0301854.160E,3097.56,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_32,BUILDING,BUILDING,375226.158N,0301854.045E,3088.29,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_33,BUILDING,BUILDING,375225.658N,0301854.066E,3088.74,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_34,BUILDING,BUILDING,375226.832N,0301853.013E,3087.88,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_35,BUILDING,BUILDING,375225.963N,0301853.322E,3088.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_36,BUILDING,BUILDING,375226.333N,0301852.325E,3088.29,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_37,BUILDING,BUILDING,375225.931N,0301851.673E,3088.74,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_38,BUILDING,BUILDING,375225.529N,0301851.340E,3089.17,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_39,BUILDING,BUILDING,375221.439N,0301847.907E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_40,BUILDING,BUILDING,375220.789N,0301848.837E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_41,BUILDING,BUILDING,375220.662N,0301849.142E,3093.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_42,BUILDING,BUILDING,375220.102N,0301849.316E,3089.59,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_43,BUILDING,BUILDING,375221.259N,0301849.524E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_44,BUILDING,BUILDING,375221.388N,0301849.262E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
