Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG1,BUILDING,BUILDING,361827.703N,0321618.700E,239.37,24.61,NO INFO,,NO,
LTFG2,BUILDING,BUILDING,361829.007N,0321618.637E,239.24,14.76,NO INFO,,NO,
LTFG3,BUILDING,BUILDING,361825.217N,0321635.936E,251.59,14.76,NO INFO,,NO,
LTFG4,BUILDING,BUILDING,361826.079N,0321634.629E,251.91,24.61,NO INFO,,NO,
LTFG5,BUILDING,BUILDING,361826.767N,0321636.204E,239.14,14.76,NO INFO,,NO,
LTFG6,BUILDING,BUILDING,361858.080N,0321717.105E,248.33,24.61,NO INFO,,NO,
LTFG7,GREENHOUSE,BUILDING,361859.058N,0321715.451E,240.10,14.76,NO INFO,,NO,
LTFG8,BUILDING,BUILDING,361859.475N,0321710.407E,239.00,24.61,NO INFO,,NO,
LTFG9,GREENHOUSE,BUILDING,361852.594N,0321725.972E,247.42,14.76,NO INFO,,NO,
LTFG10,BUILDING,BUILDING,361854.308N,0321721.044E,260.61,34.45,NO INFO,,NO,
LTFG11,BUILDING,BUILDING,361854.650N,0321720.744E,251.16,24.61,NO INFO,,NO,
LTFG12,BUILDING,BUILDING,361858.717N,0321728.941E,239.55,24.61,NO INFO,,NO,
LTFG13,BUILDING,BUILDING,361858.954N,0321732.781E,254.28,24.61,NO INFO,,NO,
LTFG14,BUILDING,BUILDING,361900.237N,0321643.368E,238.84,24.61,NO INFO,,NO,
LTFG15,BUILDING,BUILDING,361859.319N,0321643.541E,238.81,34.45,NO INFO,,NO,
LTFG16,BUILDING,BUILDING,361903.210N,0321641.730E,261.42,24.61,NO INFO,,NO,
LTFG17,GREENHOUSE,BUILDING,361942.669N,0321809.802E,251.70,14.76,NO INFO,,NO,
LTFG18,GREENHOUSE,BUILDING,361940.852N,0321810.535E,243.30,14.76,NO INFO,,NO,
LTFG19,GREENHOUSE,BUILDING,361941.046N,0321815.580E,245.58,14.76,NO INFO,,NO,
LTFG20,GREENHOUSE,BUILDING,362023.757N,0321846.721E,313.16,14.76,NO INFO,,NO,
LTFG21,GREENHOUSE,BUILDING,362022.693N,0321846.090E,306.54,14.76,NO INFO,,NO,
LTFG22,BUILDING,BUILDING,362022.328N,0321845.317E,313.02,24.61,NO INFO,,NO,
LTFG23,BUILDING,BUILDING,362020.761N,0321844.593E,287.09,24.61,NO INFO,,NO,
LTFG24,GREENHOUSE,BUILDING,362026.543N,0321813.767E,328.33,14.76,NO INFO,,NO,
LTFG25,BUILDING,BUILDING,362030.162N,0321814.329E,344.81,14.76,NO INFO,,NO,
LTFG26,TRANSFORMER,BUILDING,361825.874N,0321627.306E,267.22,82.03,NO INFO,,NO,
LTFG27,TRANSFORMER,BUILDING,361825.050N,0321627.367E,241.17,82.03,NO INFO,,NO,
LTFG28,TRANSFORMER,BUILDING,361830.550N,0321622.414E,375.79,82.03,NO INFO,,NO,
LTFG29,TRANSFORMER,BUILDING,361836.117N,0321617.249E,498.93,82.03,NO INFO,,NO,
LTFG30,BUILDING,BUILDING,361755.676N,0321819.635E,113.19,14.76,NO INFO,,NO,
LTFG31,GREENHOUSE,BUILDING,361755.656N,0321818.363E,113.19,14.76,NO INFO,,NO,
LTFG32,GREENHOUSE,BUILDING,361755.104N,0321818.622E,113.19,14.76,NO INFO,,NO,
LTFG33,GREENHOUSE,BUILDING,361754.631N,0321819.199E,113.19,14.76,NO INFO,,NO,
LTFG34,BUILDING,BUILDING,361756.106N,0321820.475E,123.04,24.61,NO INFO,,NO,
LTFG35,BUILDING,BUILDING,361756.570N,0321844.928E,135.89,34.45,NO INFO,,NO,
LTFG36,BUILDING,BUILDING,361759.823N,0321852.999E,146.90,24.61,NO INFO,,NO,
LTFG37,BUILDING,BUILDING,361757.875N,0321852.348E,149.29,34.45,NO INFO,,NO,
LTFG38,GREENHOUSE,BUILDING,361801.702N,0321850.341E,142.91,14.76,NO INFO,,NO,
LTFG39,GREENHOUSE,BUILDING,361802.661N,0321817.602E,113.19,14.76,NO INFO,,NO,
LTFG40,GREENHOUSE,BUILDING,361803.436N,0321817.108E,113.19,14.76,NO INFO,,NO,
LTFG41,GREENHOUSE,BUILDING,361804.042N,0321818.800E,113.19,14.76,NO INFO,,NO,
LTFG42,BUILDING,BUILDING,361803.093N,0321815.987E,113.19,14.76,NO INFO,,NO,
LTFG43,GREENHOUSE,BUILDING,361806.871N,0321840.886E,137.02,14.76,NO INFO,,NO,
LTFG44,BUILDING,BUILDING,361806.880N,0321842.422E,137.88,14.76,NO INFO,,NO,
LTFG45,BUILDING,BUILDING,361807.329N,0321842.826E,139.27,14.76,NO INFO,,NO,
LTFG46,BUILDING,BUILDING,361808.335N,0321845.434E,152.45,24.61,NO INFO,,NO,
LTFG47,BUILDING,BUILDING,361806.879N,0321845.699E,139.73,14.76,NO INFO,,NO,
LTFG48,BUILDING,BUILDING,361807.003N,0321846.899E,143.07,14.76,NO INFO,,NO,
LTFG49,BUILDING,BUILDING,361809.426N,0321850.971E,149.56,14.76,NO INFO,,NO,
LTFG50,BUILDING,BUILDING,361808.064N,0321850.574E,146.17,14.76,NO INFO,,NO,
LTFG51,GREENHOUSE,BUILDING,361810.869N,0321900.309E,163.80,14.76,NO INFO,,NO,
LTFG52,GREENHOUSE,BUILDING,361810.481N,0321900.385E,164.44,14.76,NO INFO,,NO,
LTFG53,GREENHOUSE,BUILDING,361809.917N,0321900.294E,164.65,14.76,NO INFO,,NO,
LTFG54,GREENHOUSE,BUILDING,361808.810N,0321851.948E,150.01,14.76,NO INFO,,NO,
LTFG55,BUILDING,BUILDING,361807.301N,0321849.753E,146.00,14.76,NO INFO,,NO,
LTFG56,GREENHOUSE,BUILDING,361806.596N,0321852.220E,149.01,14.76,NO INFO,,NO,
LTFG57,BUILDING,BUILDING,361807.473N,0321852.692E,159.59,24.61,NO INFO,,NO,
LTFG58,GREENHOUSE,BUILDING,361806.380N,0321846.760E,142.82,14.76,NO INFO,,NO,
LTFG59,GREENHOUSE,BUILDING,361805.945N,0321847.016E,143.18,14.76,NO INFO,,NO,
LTFG60,BUILDING,BUILDING,361803.766N,0321846.735E,141.28,14.76,NO INFO,,NO,
LTFG61,BUILDING,BUILDING,361801.898N,0321901.528E,163.19,24.61,NO INFO,,NO,
LTFG62,BUILDING,BUILDING,361802.116N,0321902.174E,174.09,34.45,NO INFO,,NO,
LTFG63,GREENHOUSE,BUILDING,361805.057N,0321901.692E,162.41,14.76,NO INFO,,NO,
LTFG64,GREENHOUSE,BUILDING,361804.581N,0321901.684E,161.56,14.76,NO INFO,,NO,
LTFG65,GREENHOUSE,BUILDING,361805.882N,0321901.625E,162.41,14.76,NO INFO,,NO,
LTFG66,GREENHOUSE,BUILDING,361805.592N,0321901.808E,162.41,14.76,NO INFO,,NO,
LTFG67,BUILDING,BUILDING,361806.396N,0321903.061E,182.10,34.45,NO INFO,,NO,
LTFG68,GREENHOUSE,BUILDING,361806.911N,0321901.412E,162.41,14.76,NO INFO,,NO,
LTFG69,GREENHOUSE,BUILDING,361806.523N,0321901.560E,162.41,14.76,NO INFO,,NO,
LTFG70,BUILDING,BUILDING,361806.965N,0321900.655E,162.41,14.76,NO INFO,,NO,
LTFG71,GREENHOUSE,BUILDING,361806.337N,0321859.520E,162.09,14.76,NO INFO,,NO,
LTFG72,GREENHOUSE,BUILDING,361805.909N,0321859.524E,161.48,14.76,NO INFO,,NO,
LTFG73,GREENHOUSE,BUILDING,361808.647N,0321900.797E,165.18,14.76,NO INFO,,NO,
LTFG74,GREENHOUSE,BUILDING,361808.773N,0321902.476E,166.97,14.76,NO INFO,,NO,
LTFG75,BUILDING,BUILDING,361807.700N,0321901.669E,173.35,24.61,NO INFO,,NO,
LTFG76,GREENHOUSE,BUILDING,361808.433N,0321902.551E,166.11,14.76,NO INFO,,NO,
LTFG77,GREENHOUSE,BUILDING,361808.327N,0321904.257E,168.13,14.76,NO INFO,,NO,
LTFG78,GREENHOUSE,BUILDING,361809.584N,0321904.954E,172.02,14.76,NO INFO,,NO,
LTFG79,BUILDING,BUILDING,361808.212N,0321906.334E,189.63,34.45,NO INFO,,NO,
LTFG80,BUILDING,BUILDING,361811.398N,0321902.765E,167.99,14.76,NO INFO,,NO,
LTFG81,BUILDING,BUILDING,361810.445N,0321902.618E,188.03,34.45,NO INFO,,NO,
LTFG82,BUILDING,BUILDING,361811.336N,0321905.503E,182.45,24.61,NO INFO,,NO,
LTFG83,BUILDING,BUILDING,361812.353N,0321904.978E,180.89,24.61,NO INFO,,NO,
LTFG84,BUILDING,BUILDING,361812.348N,0321905.794E,172.47,14.76,NO INFO,,NO,
LTFG85,GREENHOUSE,BUILDING,361812.346N,0321907.079E,174.16,14.76,NO INFO,,NO,
LTFG86,GREENHOUSE,BUILDING,361811.676N,0321907.157E,175.52,14.76,NO INFO,,NO,
LTFG87,GREENHOUSE,BUILDING,361810.861N,0321907.464E,176.58,14.76,NO INFO,,NO,
LTFG88,BUILDING,BUILDING,361811.851N,0321908.872E,197.43,34.45,NO INFO,,NO,
LTFG89,BUILDING,BUILDING,361811.511N,0321908.923E,197.93,34.45,NO INFO,,NO,
LTFG90,BUILDING,BUILDING,361810.485N,0321909.532E,188.66,24.61,NO INFO,,NO,
LTFG91,GREENHOUSE,BUILDING,361809.774N,0321909.358E,178.14,14.76,NO INFO,,NO,
LTFG92,GREENHOUSE,BUILDING,361809.966N,0321908.972E,177.69,14.76,NO INFO,,NO,
LTFG93,GREENHOUSE,BUILDING,361809.376N,0321909.361E,177.28,14.76,NO INFO,,NO,
LTFG94,GREENHOUSE,BUILDING,361809.204N,0321908.258E,174.08,14.76,NO INFO,,NO,
LTFG95,GREENHOUSE,BUILDING,361808.986N,0321907.492E,173.00,14.76,NO INFO,,NO,
LTFG96,GREENHOUSE,BUILDING,361808.875N,0321906.797E,172.32,14.76,NO INFO,,NO,
LTFG97,GREENHOUSE,BUILDING,361808.680N,0321909.932E,175.81,14.76,NO INFO,,NO,
LTFG98,GREENHOUSE,BUILDING,361809.845N,0321911.626E,178.81,14.76,NO INFO,,NO,
LTFG99,GREENHOUSE,BUILDING,361810.077N,0321911.336E,178.81,14.76,NO INFO,,NO,
LTFG100,GREENHOUSE,BUILDING,361810.434N,0321910.829E,178.81,14.76,NO INFO,,NO,
LTFG101,BUILDING,BUILDING,361812.880N,0321933.092E,218.82,24.61,NO INFO,,NO,
LTFG102,BUILDING,BUILDING,361812.938N,0321932.688E,217.49,24.61,NO INFO,,NO,
LTFG103,BUILDING,BUILDING,361814.580N,0321931.454E,221.47,24.61,NO INFO,,NO,
LTFG104,BUILDING,BUILDING,361815.310N,0321932.943E,221.47,24.61,NO INFO,,NO,
LTFG105,GREENHOUSE,BUILDING,361815.926N,0321934.094E,222.64,14.76,NO INFO,,NO,
LTFG106,GREENHOUSE,BUILDING,361816.097N,0321932.449E,215.56,14.76,NO INFO,,NO,
LTFG107,GREENHOUSE,BUILDING,361815.267N,0321937.601E,228.76,14.76,NO INFO,,NO,
LTFG108,GREENHOUSE,BUILDING,361814.669N,0321938.115E,225.01,14.76,NO INFO,,NO,
LTFG109,BUILDING,BUILDING,361815.503N,0321938.320E,235.87,14.76,NO INFO,,NO,
LTFG110,GREENHOUSE,BUILDING,361814.154N,0321941.207E,231.77,14.76,NO INFO,,NO,
LTFG111,BUILDING,BUILDING,361813.187N,0321940.335E,239.18,34.45,NO INFO,,NO,
LTFG112,BUILDING,BUILDING,361813.629N,0321944.044E,236.34,24.61,NO INFO,,NO,
LTFG113,GREENHOUSE,BUILDING,361815.014N,0321946.080E,239.75,14.76,NO INFO,,NO,
LTFG114,GREENHOUSE,BUILDING,361814.564N,0321943.909E,235.04,14.76,NO INFO,,NO,
LTFG115,GREENHOUSE,BUILDING,361814.860N,0321941.477E,237.80,14.76,NO INFO,,NO,
LTFG116,GREENHOUSE,BUILDING,361822.709N,0322012.336E,248.99,14.76,NO INFO,,NO,
LTFG117,BUILDING,BUILDING,361822.154N,0322014.399E,240.06,24.61,NO INFO,,NO,
LTFG118,BUILDING,BUILDING,361837.919N,0322053.077E,541.45,34.45,NO INFO,,NO,
LTFG119,GREENHOUSE,BUILDING,361728.086N,0321927.038E,243.56,14.76,NO INFO,,NO,
LTFG120,BUILDING,BUILDING,361727.486N,0321925.986E,247.15,34.45,NO INFO,,NO,
LTFG121,BUILDING,BUILDING,361722.505N,0321919.599E,250.87,34.45,NO INFO,,NO,
LTFG122,GREENHOUSE,BUILDING,361719.030N,0321921.367E,240.24,14.76,NO INFO,,NO,
LTFG123,GREENHOUSE,BUILDING,361720.610N,0321921.375E,238.01,14.76,NO INFO,,NO,
LTFG124,GREENHOUSE,BUILDING,361721.367N,0321921.580E,239.61,14.76,NO INFO,,NO,
LTFG125,GREENHOUSE,BUILDING,361721.796N,0321921.555E,241.26,14.76,NO INFO,,NO,
LTFG126,GREENHOUSE,BUILDING,361722.432N,0321921.529E,243.34,14.76,NO INFO,,NO,
LTFG127,BUILDING,BUILDING,361719.021N,0321925.737E,254.28,24.61,NO INFO,,NO,
LTFG128,BUILDING,BUILDING,361720.359N,0321930.590E,289.93,44.29,NO INFO,,NO,
LTFG129,BUILDING,BUILDING,361724.676N,0321929.634E,244.43,14.76,NO INFO,,NO,
LTFG130,GREENHOUSE,BUILDING,361724.265N,0321929.892E,244.43,14.76,NO INFO,,NO,
LTFG131,GREENHOUSE,BUILDING,361724.044N,0321930.361E,244.43,14.76,NO INFO,,NO,
LTFG132,GREENHOUSE,BUILDING,361723.536N,0321928.520E,244.43,14.76,NO INFO,,NO,
LTFG133,GREENHOUSE,BUILDING,361723.688N,0321928.094E,244.43,14.76,NO INFO,,NO,
LTFG134,BUILDING,BUILDING,361717.606N,0321920.200E,272.76,54.14,NO INFO,,NO,
LTFG135,BUILDING,BUILDING,361717.792N,0321922.780E,244.43,14.76,NO INFO,,NO,
LTFG136,GREENHOUSE,BUILDING,361716.031N,0321919.420E,240.56,14.76,NO INFO,,NO,
