Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFH_1,MINARET,BUILDING,411343.20N,0363503.40E,162,125,YES,RED,NO,
LTFH_2,MINARET,BUILDING,411313.80N,0363639.00E,216,180,YES,RED,NO,
LTFH_3,MINARET,BUILDING,411403.90N,0363634.90E,161,138,YES,RED,NO,
LTFH_4,WIND SOCK,OTHER,411542.70N,0363314.40E,32,24,YES,RED,NO,
LTFH_5,WIND SOCK,OTHER,411442.60N,0363438.60E,37,24,YES,RED,NO,
LTFH_7,TREE,TREE,411424.40N,0363515.70E,104,86,NO,,NO,
LTFH_8,TREE,TREE,411427.11N,0363457.59E,52,,NO,,NO,
LTFH_9,TREE,TREE,411426.83N,0363457.64E,53,,NO,,NO,
LTFH_10,TREE,TREE,411426.49N,0363458.06E,56,,NO,,NO,
LTFH_11,TREE,TREE,411426.23N,0363458.48E,74,,NO,,NO,
LTFH_12,TREE,TREE,411426.20N,0363458.69E,68,,NO,,NO,
LTFH_13,TREE,TREE,411426.21N,0363458.92E,73,,NO,,NO,
LTFH_14,TREE,TREE,411426.10N,0363459.28E,80,,NO,,NO,
LTFH_15,TREE,TREE,411426.03N,0363500.02E,73,,NO,,NO,
LTFH_16,TREE,TREE,411425.92N,0363500.31E,80,,NO,,NO,
LTFH_17,TREE,TREE,411425.88N,0363500.75E,73,,NO,,NO,
LTFH_18,TREE,TREE,411425.86N,0363501.02E,68,,NO,,NO,
LTFH_19,TREE,TREE,411425.81N,0363501.38E,71,,NO,,NO,
LTFH_20,TREE,TREE,411425.74N,0363501.73E,74,,NO,,NO,
LTFH_21,TREE,TREE,411425.68N,0363502.06E,71,,NO,,NO,
LTFH_22,TREE,TREE,411425.69N,0363502.25E,68,,NO,,NO,
LTFH_23,TREE,TREE,411425.56N,0363502.89E,71,,NO,,NO,
LTFH_24,TREE,TREE,411425.54N,0363503.17E,71,,NO,,NO,
LTFH_25,TREE,TREE,411425.41N,0363503.57E,74,,NO,,NO,
LTFH_26,TREE,TREE,411424.96N,0363506.23E,67,,NO,,NO,
LTFH_27,TREE,TREE,411424.51N,0363505.34E,73,,NO,,NO,
LTFH_28,TREE,TREE,411425.85N,0363458.63E,65,,NO,,NO,
LTFH_29,TREE,TREE,411425.06N,0363459.52E,74,,NO,,NO,
LTFH_30,TREE,TREE,411424.96N,0363459.78E,74,,NO,,NO,
LTFH_31,TREE,TREE,411424.85N,0363500.14E,73,,NO,,NO,
LTFH_32,TREE,TREE,411424.67N,0363500.63E,86,,NO,,NO,
LTFH_33,TREE,TREE,411424.62N,0363500.45E,85,,NO,,NO,
LTFH_34,TREE,TREE,411424.43N,0363501.16E,84,,NO,,NO,
LTFH_35,TREE,TREE,411424.32N,0363501.40E,79,,NO,,NO,
LTFH_36,TREE,TREE,411423.91N,0363502.73E,67,,NO,,NO,
LTFH_37,TREE,TREE,411422.45N,0363502.18E,76,,NO,,NO,
LTFH_38,TREE,TREE,411422.56N,0363503.27E,66,,NO,,NO,
LTFH_39,TREE,TREE,411423.38N,0363503.86E,65,,NO,,NO,
LTFH_40,TREE,TREE,411423.43N,0363504.85E,74,,NO,,NO,
LTFH_41,TREE,TREE,411423.40N,0363505.27E,75,,NO,,NO,
LTFH_42,TREE,TREE,411423.80N,0363505.78E,72,,NO,,NO,
LTFH_43,TREE,TREE,411424.38N,0363506.47E,66,,NO,,NO,
LTFH_44,TREE,TREE,411424.80N,0363506.65E,72,,NO,,NO,
