Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTFJ001,TREE,TREE,405420.88N,0292046.92E,356.74,22.88,NO,,NO
LTFJ002,TREE,TREE,405421.37N,0292042.12E,359.34,23.05,NO,,NO
LTFJ003,TREE,TREE,405418.73N,0292052.57E,377.41,46.06,NO,,NO
LTFJ004,TREE,TREE,405410.80N,0292050.02E,373.41,27.82,NO,,NO
LTFJ007,TREE,TREE,405423.96N,0292039.13E,363.21,31.83,NO,,NO
LTFJ008,TREE,TREE,405424.81N,0292049.46E,381.58,54.95,NO,,NO
LTFJ009,TREE,TREE,405443.75N,0292043.54E,364.65,26.71,NO,,NO
LTFJ010,TREE,TREE,405437.25N,0292038.06E,364.91,19.35,NO,,NO
LTFJ012,TREE,TREE,405439.02N,0292033.89E,370.39,13.23,NO,,NO
LTFJ013,TREE,TREE,405428.29N,0292044.72E,354.87,26.77,NO,,NO
LTFJ014,TREE,TREE,405432.95N,0292030.41E,363.63,25.59,NO,,NO
LTFJ015,TREE,TREE,405424.76N,0292014.93E,342.41,83.21,NO,,NO
LTFJ016,TREE,TREE,405437.99N,0292029.61E,366.52,22.47,NO,,NO
LTFJ017,TREE,TREE,405431.68N,0292041.72E,353.72,22.66,NO,,NO
LTFJ020,TREE,TREE,405416.25N,0292001.89E,339.22,74.33,NO,,NO
LTFJ021,TREE,TREE,405438.28N,0291850.80E,347.00,29.61,NO,,NO
LTFJ022,TREE,TREE,405433.83N,0291900.52E,332.33,3.24,NO,,NO
LTFJ026,TREE,TREE,405422.27N,0292005.86E,345.69,67.78,NO,,NO
LTFJ027,TREE,TREE,405441.82N,0291912.73E,334.92,35.39,NO,,NO
LTFJ028,TREE,TREE,405423.77N,0291848.12E,330.04,22.52,NO,,NO
LTFJ029,TREE,TREE,405424.38N,0291839.52E,350.44,53.47,NO,,NO
LTFJ030,TREE,TREE,405427.65N,0291839.73E,336.93,36.10,NO,,NO
LTFJ032,TREE,TREE,405403.17N,0292058.51E,399.82,48.76,NO,,NO
LTFJ033,TREE,TREE,405443.70N,0292019.84E,363.21,20.90,NO,,NO
LTFJ034,TREE,TREE,405356.28N,0292057.26E,407.27,73.26,NO,,NO
LTFJ035,TREE,TREE,405343.40N,0292048.38E,344.24,32.28,NO,,NO
LTFJ036,TREE,TREE,405342.25N,0292041.49E,366.36,71.61,NO,,NO
LTFJ037,TREE,TREE,405347.02N,0292052.28E,371.80,50.26,NO,,NO
LTFJ038,TREE,TREE,405351.97N,0292058.38E,378.99,41.76,NO,,NO
LTFJ039,TREE,TREE,405351.94N,0292050.82E,342.54,21.00,NO,,NO
LTFJ040,TREE,TREE,405453.78N,0292049.00E,387.32,24.18,NO,,NO
LTFJ041,TREE,TREE,405453.18N,0292020.55E,400.51,24.37,NO,,NO
LTFJ042,TREE,TREE,405447.24N,0292000.53E,362.62,28.86,NO,,NO
LTFJ043,TREE,TREE,405449.51N,0292010.62E,358.02,10.18,NO,,NO
LTFJ044,TREE,TREE,405428.29N,0292034.71E,346.28,19.05,NO,,NO
LTFJ045,TREE,TREE,405443.99N,0292019.51E,363.21,19.72,NO,,NO
LTFJ046,TREE,TREE,405456.65N,0292032.84E,453.20,58.91,NO,,NO
LTFJ047,TREE,TREE,405447.19N,0292030.47E,389.62,12.30,NO,,NO
LTFJ048,TREE,TREE,405453.61N,0292027.57E,416.33,28.01,NO,,NO
LTFJ049,TREE,TREE,405453.22N,0292027.10E,416.33,30.71,NO,,NO
LTFJ050,TREE,TREE,405451.33N,0291958.12E,380.56,28.37,NO,,NO
LTFJ051,TREE,TREE,405451.06N,0291957.58E,380.56,29.56,NO,,NO
LTFJ052,TREE,TREE,405447.90N,0292001.12E,362.62,27.03,NO,,NO
LTFJ053,TREE,TREE,405456.84N,0292211.80E,546.65,58.20,NO,,NO
LTFJ054,TREE,TREE,405449.59N,0292211.07E,499.86,22.77,NO,,NO
LTFJ055,TREE,TREE,405453.28N,0292214.65E,539.76,47.61,NO,,NO
LTFJ056,TREE,TREE,405504.47N,0292207.48E,459.80,37.35,NO,,NO
LTFJ057,TREE,TREE,405502.71N,0292159.63E,470.13,22.28,NO,,NO
