Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude ( N ),Longitude ( E ),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,SURVEY_DATE
4,DVOR,NAVAID,411834.1809N,0284331.9548E,282.5,14.4,YES,RED,NO,1.07.2021
5,DVOR_LC,NAVAID,411834.3596N,0284332.4360E,291.3,25.2,YES,RED,NO,1.07.2021
6,DVOR_MONITOR,NAVAID,411834.2002N,0284327.6198E,276.9,22.6,YES,RED,NO,1.07.2021
8,PAPI_COVER,OTHER,411743.3311N,0284235.5485E,228.0,3.5,NO,,NO,1.07.2021
9,PAPI_COVER,OTHER,411743.3265N,0284235.1619E,228.6,3.5,NO,,NO,1.07.2021
10,PAPI_COVER,OTHER,411743.2919N,0284231.9375E,228.7,3.6,NO,,NO,1.07.2021
11,PAPI_COVER,OTHER,411743.2864N,0284231.5516E,228.3,3.6,NO,,NO,1.07.2021
15,PAPI_COVER,OTHER,411743.2476N,0284222.5921E,227.8,2.6,NO,,NO,1.07.2021
18,PAPI_COVER,OTHER,411743.2912N,0284226.4593E,228.0,3.1,NO,,NO,1.07.2021
19,PAPI_COVER,OTHER,411609.6634N,0284224.4396E,312.6,3.4,NO,,NO,1.07.2021
20,PAPI_COVER,OTHER,411609.7065N,0284228.3061E,312.6,3.1,NO,,NO,1.07.2021
22,PAPI_COVER,OTHER,411609.5863N,0284237.7808E,312.8,3.9,NO,,NO,1.07.2021
23,PAPI_COVER,OTHER,411609.5825N,0284237.3950E,313.3,3.9,NO,,NO,1.07.2021
24,PAPI_COVER,OTHER,411609.5770N,0284237.0090E,313.9,3.8,NO,,NO,1.07.2021
25,PAPI_COVER,OTHER,411609.5411N,0284233.7853E,313.9,3.9,NO,,NO,1.07.2021
26,PAPI_COVER,OTHER,411609.5370N,0284233.3995E,313.5,4.0,NO,,NO,1.07.2021
27,PAPI_COVER,OTHER,411609.5322N,0284233.0137E,312.8,3.9,NO,,NO,1.07.2021
45,BRIDGE_DECK,BUILDING,411511.3485N,0284138.9189E,505.5,52.2,NO,,NO,1.07.2021
46,BRIDGE_DECK,BUILDING,411506.6397N,0284143.7436E,507.6,129.2,NO,,NO,1.07.2021
47,BRIDGE_DECK,BUILDING,411459.3954N,0284146.9983E,511.8,97.1,NO,,NO,1.07.2021
486944,ANTENNA,ANTENNA,411511.5980N,0284400.2176E,365.9,84.5,NO,,NO,1.07.2021
486945,ANTENNA,ANTENNA,411514.1401N,0284400.1725E,365.4,84.1,NO,,NO,1.07.2021
486946,ANTENNA,ANTENNA,411517.1823N,0284400.0932E,364.0,82.6,NO,,NO,1.07.2021
486947,ANTENNA,ANTENNA,411519.3509N,0284400.2168E,364.9,83.6,NO,,NO,1.07.2021
486948,ANTENNA,ANTENNA,411514.1009N,0284411.9889E,373.5,84.1,NO,,NO,1.07.2021
486949,ANTENNA,ANTENNA,411512.8059N,0284412.0194E,375.4,86.1,NO,,NO,1.07.2021
486950,ANTENNA,ANTENNA,411511.0271N,0284412.0535E,373.5,84.2,NO,,NO,1.07.2021
486951,ANTENNA,ANTENNA,411509.7286N,0284412.0818E,373.5,83.8,NO,,NO,1.07.2021
486952,ANTENNA,ANTENNA,411508.2793N,0284411.9514E,373.5,84.7,NO,,NO,1.07.2021
486953,ANTENNA,ANTENNA,411506.8387N,0284411.7212E,373.1,85.7,NO,,NO,1.07.2021
486954,ANTENNA,ANTENNA,411501.3796N,0284411.8289E,372.6,83.7,NO,,NO,1.07.2021
487034,STREETLIGHT,POLE,411459.4472N,0284036.5781E,444.0,54.1,NO,,NO,1.07.2021
487088,STREETLIGHT,POLE,411443.7477N,0284113.7429E,453.4,49.6,NO,,NO,1.07.2021
487089,STREETLIGHT,POLE,411443.9334N,0284111.7813E,450.2,49.3,NO,,NO,1.07.2021
487090,STREETLIGHT,POLE,411444.1133N,0284109.8282E,447.5,50.3,NO,,NO,1.07.2021
487091,STREETLIGHT,POLE,411444.2990N,0284107.8641E,444.2,49.7,NO,,NO,1.07.2021
