Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO1,BUILDING,BUILDING,411045.19N,0405300.48E,191.34,34.45,NO INFO,,NO
LTFO2,BUILDING,BUILDING,411042.86N,0405258.82E,291.69,103.35,NO INFO,,NO
LTFO3,BUILDING,BUILDING,411043.94N,0405300.27E,271.60,103.35,NO INFO,,NO
LTFO4,BUILDING,BUILDING,411042.93N,0405300.83E,279.10,103.35,NO INFO,,NO
LTFO5,BUILDING,BUILDING,411042.26N,0405301.58E,292.43,123.03,NO INFO,,NO
LTFO6,BUILDING,BUILDING,411042.67N,0405302.98E,256.40,103.35,NO INFO,,NO
LTFO7,BUILDING,BUILDING,411043.82N,0405304.67E,239.24,113.19,NO INFO,,NO
LTFO8,BUILDING,BUILDING,411043.27N,0405303.78E,253.06,113.19,NO INFO,,NO
LTFO9,BUILDING,BUILDING,411046.65N,0405307.44E,181.73,103.35,NO INFO,,NO
LTFO10,BUILDING,BUILDING,411045.89N,0405304.66E,212.36,103.35,NO INFO,,NO
LTFO11,BUILDING,BUILDING,411044.97N,0405303.87E,231.04,103.35,NO INFO,,NO
LTFO12,BUILDING,BUILDING,411045.29N,0405305.03E,228.14,113.19,NO INFO,,NO
LTFO13,BUILDING,BUILDING,411045.28N,0405305.35E,233.53,123.03,NO INFO,,NO
LTFO14,BUILDING,BUILDING,411046.66N,0405305.70E,194.58,103.35,NO INFO,,NO
LTFO15,BUILDING,BUILDING,411045.79N,0405306.30E,182.84,83.66,NO INFO,,NO
LTFO16,BUILDING,BUILDING,411048.25N,0405244.17E,170.61,123.03,NO INFO,,NO
LTFO17,BUILDING,BUILDING,411048.68N,0405243.06E,183.06,123.03,NO INFO,,NO
LTFO18,BUILDING,BUILDING,411048.90N,0405242.68E,189.27,123.03,NO INFO,,NO
LTFO19,BUILDING,BUILDING,411049.19N,0405242.16E,201.85,132.87,NO INFO,,NO
LTFO20,BUILDING,BUILDING,411045.46N,0405327.96E,165.68,132.87,NO INFO,,NO
LTFO21,BUILDING,BUILDING,411043.76N,0405330.28E,165.68,132.87,NO INFO,,NO
LTFO22,BUILDING,BUILDING,411042.82N,0405327.76E,175.52,142.71,NO INFO,,NO
LTFO23,BUILDING,BUILDING,411040.32N,0405324.48E,167.25,34.45,NO INFO,,NO
LTFO24,BUILDING,BUILDING,411042.69N,0405327.10E,165.68,132.87,NO INFO,,NO
LTFO25,BUILDING,BUILDING,411044.00N,0405321.55E,178.72,34.45,NO INFO,,NO
LTFO26,BUILDING,BUILDING,411047.35N,0405319.90E,170.04,83.66,NO INFO,,NO
LTFO27,BUILDING,BUILDING,411047.51N,0405319.13E,174.26,83.66,NO INFO,,NO
LTFO28,BUILDING,BUILDING,411047.31N,0405319.51E,166.73,73.82,NO INFO,,NO
LTFO29,BUILDING,BUILDING,411044.10N,0405312.67E,168.37,34.45,NO INFO,,NO
LTFO30,BUILDING,BUILDING,411046.29N,0405314.62E,172.15,63.98,NO INFO,,NO
LTFO31,BUILDING,BUILDING,411025.91N,0405342.46E,170.00,113.19,NO INFO,,NO
LTFO32,BUILDING,BUILDING,411025.30N,0405340.72E,180.37,123.03,NO INFO,,NO
LTFO33,BUILDING,BUILDING,411029.12N,0405340.46E,170.29,123.03,NO INFO,,NO
LTFO34,BUILDING,BUILDING,411025.66N,0405327.86E,254.27,24.61,NO INFO,,NO
LTFO35,BUILDING,BUILDING,411022.79N,0405327.84E,276.90,24.61,NO INFO,,NO
LTFO36,BUILDING,BUILDING,411022.94N,0405328.65E,265.30,24.61,NO INFO,,NO
LTFO37,BUILDING,BUILDING,411023.72N,0405330.08E,253.75,34.45,NO INFO,,NO
LTFO38,BUILDING,BUILDING,411020.15N,0405339.47E,213.86,63.98,NO INFO,,NO
LTFO39,BUILDING,BUILDING,411015.94N,0405345.70E,168.96,103.35,NO INFO,,NO
LTFO40,BUILDING,BUILDING,411003.33N,0405338.24E,186.21,54.13,NO INFO,,NO
LTFO41,BUILDING,BUILDING,411003.05N,0405339.12E,201.16,54.13,NO INFO,,NO
LTFO42,BUILDING,BUILDING,410958.89N,0405336.82E,189.35,24.61,NO INFO,,NO
LTFO43,BUILDING,BUILDING,410958.17N,0405336.76E,188.65,24.61,NO INFO,,NO
LTFO44,BUILDING,BUILDING,411001.95N,0405336.34E,219.63,34.45,NO INFO,,NO
LTFO45,BUILDING,BUILDING,411000.71N,0405335.10E,241.14,44.29,NO INFO,,NO
LTFO46,BUILDING,BUILDING,411000.40N,0405336.38E,221.45,24.61,NO INFO,,NO
LTFO47,BUILDING,BUILDING,411000.54N,0405337.07E,221.45,24.61,NO INFO,,NO
LTFO48,BUILDING,BUILDING,411000.84N,0405337.66E,221.06,24.61,NO INFO,,NO
LTFO49,BUILDING,BUILDING,410958.61N,0405336.32E,196.82,24.61,NO INFO,,NO
LTFO50,BUILDING,BUILDING,410958.73N,0405335.92E,199.67,24.61,NO INFO,,NO
LTFO51,BUILDING,BUILDING,410958.48N,0405336.85E,188.88,24.61,NO INFO,,NO
